2026-05-16 16:14:02,550 - Successfully loaded pretrained weights from: /home/deltax/research/May_bien_ap/try_4/Experiment_2/checkpoints_exp2_pretrain/BiGRU_6L/best.pth
2026-05-16 16:14:13,007 - BEST MODEL UPDATED - MAE_norm: 0.1695 | λ₃=0.1, λ₄=0.05
2026-05-16 16:14:21,783 - BEST MODEL UPDATED - MAE_norm: 0.0764 | λ₃=0.1, λ₄=0.05
2026-05-16 16:14:30,378 - BEST MODEL UPDATED - MAE_norm: 0.0710 | λ₃=0.1, λ₄=0.05
2026-05-16 16:14:39,123 - BEST MODEL UPDATED - MAE_norm: 0.0674 | λ₃=0.1, λ₄=0.05
2026-05-16 16:14:47,596 - BEST MODEL UPDATED - MAE_norm: 0.0668 | λ₃=0.1, λ₄=0.05
2026-05-16 16:14:56,143 - BEST MODEL UPDATED - MAE_norm: 0.0651 | λ₃=0.1, λ₄=0.05
2026-05-16 16:15:13,369 - BEST MODEL UPDATED - MAE_norm: 0.0607 | λ₃=0.1, λ₄=0.05
2026-05-16 16:15:21,953 - BEST MODEL UPDATED - MAE_norm: 0.0600 | λ₃=0.1, λ₄=0.05
2026-05-16 16:15:39,506 - BEST MODEL UPDATED - MAE_norm: 0.0596 | λ₃=0.1, λ₄=0.05
2026-05-16 16:15:48,050 - BEST MODEL UPDATED - MAE_norm: 0.0586 | λ₃=0.1, λ₄=0.05
2026-05-16 16:15:56,731 - BEST MODEL UPDATED - MAE_norm: 0.0580 | λ₃=0.1, λ₄=0.05
2026-05-16 16:16:14,416 - BEST MODEL UPDATED - MAE_norm: 0.0574 | λ₃=0.1, λ₄=0.05
2026-05-16 16:16:23,230 - BEST MODEL UPDATED - MAE_norm: 0.0572 | λ₃=0.1, λ₄=0.05
2026-05-16 16:17:07,466 - BEST MODEL UPDATED - MAE_norm: 0.0565 | λ₃=0.1, λ₄=0.05
2026-05-16 16:17:24,879 - BEST MODEL UPDATED - MAE_norm: 0.0551 | λ₃=0.1, λ₄=0.05
2026-05-16 16:17:51,084 - BEST MODEL UPDATED - MAE_norm: 0.0534 | λ₃=0.1, λ₄=0.05
2026-05-16 16:17:59,695 - BEST MODEL UPDATED - MAE_norm: 0.0529 | λ₃=0.1, λ₄=0.05
2026-05-16 16:18:16,902 - BEST MODEL UPDATED - MAE_norm: 0.0518 | λ₃=0.1, λ₄=0.05
2026-05-16 16:18:34,313 - BEST MODEL UPDATED - MAE_norm: 0.0511 | λ₃=0.1, λ₄=0.05
2026-05-16 16:18:51,480 - BEST MODEL UPDATED - MAE_norm: 0.0503 | λ₃=0.1, λ₄=0.05
2026-05-16 16:19:00,189 - BEST MODEL UPDATED - MAE_norm: 0.0494 | λ₃=0.1, λ₄=0.05
2026-05-16 16:19:26,252 - BEST MODEL UPDATED - MAE_norm: 0.0485 | λ₃=0.1, λ₄=0.05
2026-05-16 16:19:43,778 - BEST MODEL UPDATED - MAE_norm: 0.0478 | λ₃=0.1, λ₄=0.05
2026-05-16 16:20:35,509 - BEST MODEL UPDATED - MAE_norm: 0.0470 | λ₃=0.1, λ₄=0.05
2026-05-16 16:20:44,145 - BEST MODEL UPDATED - MAE_norm: 0.0468 | λ₃=0.1, λ₄=0.05
2026-05-16 16:21:01,832 - BEST MODEL UPDATED - MAE_norm: 0.0464 | λ₃=0.1, λ₄=0.05
2026-05-16 16:21:10,426 - BEST MODEL UPDATED - MAE_norm: 0.0462 | λ₃=0.1, λ₄=0.05
2026-05-16 16:21:19,290 - Finished BiGRU6L_l3_0.1_l4_0.05 - Best MAE_norm: 0.0462
