Step,Phase,Loss,MAE_norm,MAE_Watts,RMSE,R2,P95_Error_pct,MAPE,MaxErr
100,TRAIN,0.046539463102817535,0.19417722523212433,0.6853945255279541,0.2329903542995453,0.4171227216720581,56.75163269042969,30.338311195373535,2.0393152236938477
125,VALID,0.0222922675893642,0.11208713054656982,0.3796485662460327,0.1491106152534485,0.736677885055542,46.80348587036133,17.245054244995117,1.9784069061279297
200,TRAIN,0.01467951014637947,0.08188888430595398,0.2521401643753052,0.11393526196479797,0.8482494950294495,31.58930778503418,12.561315298080444,1.2504194974899292
250,VALID,0.012224737467477098,0.07222183048725128,0.22964707016944885,0.10052070766687393,0.8803310990333557,34.38196563720703,11.020702123641968,1.1426197290420532
300,TRAIN,0.009549345821142197,0.06026171147823334,0.19073140621185303,0.08394253998994827,0.9167534112930298,25.00567054748535,9.121587872505188,1.0788133144378662
375,VALID,0.011229094438022003,0.06827223300933838,0.2182040959596634,0.0942113921046257,0.8948820233345032,31.496166229248047,10.342200845479965,1.0793378353118896
400,TRAIN,0.011237045750021935,0.06900329887866974,0.22785894572734833,0.09313126653432846,0.9064739346504211,24.86942481994629,10.270681977272034,1.1287450790405273
500,TRAIN,0.01064260397106409,0.06451012194156647,0.18305858969688416,0.09155973047018051,0.903355598449707,30.95542335510254,10.727529972791672,0.7073814868927002
500,VALID,0.010542181495111436,0.06631302088499069,0.21261703968048096,0.08905258774757385,0.9060788750648499,31.050783157348633,10.263898223638535,0.9938908815383911
600,TRAIN,0.01129825972020626,0.06871084868907928,0.21263594925403595,0.0940975546836853,0.9049609303474426,31.557941436767578,10.38585752248764,1.0716307163238525
625,VALID,0.009983356852899306,0.0625847578048706,0.20013944804668427,0.08669910579919815,0.9109775424003601,29.403831481933594,9.351588040590286,1.0377826690673828
700,TRAIN,0.009108304046094418,0.06066326051950455,0.20338472723960876,0.07799971848726273,0.9368594884872437,22.92498016357422,8.962101489305496,0.7855453491210938
750,VALID,0.009456300191232003,0.061032865196466446,0.19584211707115173,0.08243051916360855,0.9195277094841003,28.058557510375977,9.284355491399765,0.9419056177139282
800,TRAIN,0.00948186032474041,0.0605626106262207,0.18575897812843323,0.08277197182178497,0.9306432008743286,31.771709442138672,9.800419211387634,0.6489312648773193
875,VALID,0.009380386341945268,0.060005154460668564,0.19257022440433502,0.08256839960813522,0.9192582964897156,27.98276138305664,8.92188549041748,0.9900438785552979
900,TRAIN,0.009057573974132538,0.05728776752948761,0.18765252828598022,0.0815940797328949,0.9168652892112732,26.810144424438477,8.270347118377686,0.8930697441101074
1000,TRAIN,0.01003364846110344,0.06434764713048935,0.20419296622276306,0.08483964949846268,0.9170725345611572,28.041425704956055,9.749080240726471,0.6429214477539062
1000,VALID,0.008884275812306441,0.05788721889257431,0.1862017959356308,0.07914682477712631,0.9258114099502563,26.67725944519043,8.644457906484604,0.9706511497497559
1100,TRAIN,0.008624540641903877,0.05497149005532265,0.17671212553977966,0.07908718287944794,0.9169744253158569,23.909488677978516,8.018208295106888,0.7803566455841064
1125,VALID,0.009240244253305718,0.061501093208789825,0.20020054280757904,0.07925835996866226,0.92560213804245,25.82001495361328,9.52187106013298,0.8465059995651245
1200,TRAIN,0.007166897412389517,0.048752311617136,0.15385973453521729,0.06770031899213791,0.933182954788208,20.30288314819336,7.209257036447525,0.6571044921875
1250,VALID,0.00874555685732048,0.05688856169581413,0.18229514360427856,0.07849795371294022,0.9270228147506714,26.34124183654785,8.37235301733017,0.9551864862442017
1300,TRAIN,0.007543922867625952,0.05295998603105545,0.17154791951179504,0.06705108284950256,0.9523317217826843,22.358816146850586,8.019459247589111,0.5981874465942383
1375,VALID,0.008487084443913773,0.0556691475212574,0.1793719232082367,0.07688650488853455,0.9299883246421814,25.28414535522461,8.214466273784637,0.9758889675140381
1400,TRAIN,0.009098622016608715,0.05654067173600197,0.18968713283538818,0.08300065994262695,0.909941554069519,25.327573776245117,7.8932985663414,0.8777415752410889
1500,TRAIN,0.008584784343838692,0.05674215033650398,0.18005895614624023,0.0762963816523552,0.9399599432945251,26.29846954345703,9.077803790569305,0.7237257957458496
1500,VALID,0.008558354005799629,0.05800258368253708,0.19020386040210724,0.07495015114545822,0.9334703683853149,24.352371215820312,8.920685201883316,0.8508672714233398
1600,TRAIN,0.005061260424554348,0.03828289359807968,0.1299547404050827,0.04965824633836746,0.9735139012336731,16.18010711669922,5.697882175445557,0.4130573272705078
1625,VALID,0.007967654368258081,0.054223742336034775,0.17642295360565186,0.07188019901514053,0.938808798789978,24.15019416809082,8.222207427024841,0.8575353622436523
1700,TRAIN,0.011183034628629684,0.06805819272994995,0.22066280245780945,0.09356511384248734,0.8684884905815125,25.351125717163086,9.558170288801193,0.9639112949371338
1750,VALID,0.007842588514904492,0.05334107205271721,0.1739024668931961,0.07133258879184723,0.9397376179695129,23.788663864135742,8.023682236671448,0.8755511045455933
1800,TRAIN,0.005819287616759539,0.04163268953561783,0.1394493579864502,0.057550303637981415,0.9673816561698914,16.167970657348633,6.096849218010902,0.7588019371032715
