2026-05-16 17:15:05,415 - Successfully loaded pretrained weights from: /home/deltax/research/May_bien_ap/try_4/Experiment_2/checkpoints_exp2_pretrain/BiGRU_6L/best.pth
2026-05-16 17:15:14,358 - BEST MODEL UPDATED - MAE_norm: 0.1221 | λ₃=0.5, λ₄=0.2
2026-05-16 17:15:23,049 - BEST MODEL UPDATED - MAE_norm: 0.0745 | λ₃=0.5, λ₄=0.2
2026-05-16 17:15:31,995 - BEST MODEL UPDATED - MAE_norm: 0.0684 | λ₃=0.5, λ₄=0.2
2026-05-16 17:15:40,909 - BEST MODEL UPDATED - MAE_norm: 0.0641 | λ₃=0.5, λ₄=0.2
2026-05-16 17:15:49,523 - BEST MODEL UPDATED - MAE_norm: 0.0628 | λ₃=0.5, λ₄=0.2
2026-05-16 17:15:58,023 - BEST MODEL UPDATED - MAE_norm: 0.0615 | λ₃=0.5, λ₄=0.2
2026-05-16 17:16:06,655 - BEST MODEL UPDATED - MAE_norm: 0.0603 | λ₃=0.5, λ₄=0.2
2026-05-16 17:16:24,041 - BEST MODEL UPDATED - MAE_norm: 0.0583 | λ₃=0.5, λ₄=0.2
2026-05-16 17:16:33,124 - BEST MODEL UPDATED - MAE_norm: 0.0573 | λ₃=0.5, λ₄=0.2
2026-05-16 17:16:59,831 - BEST MODEL UPDATED - MAE_norm: 0.0548 | λ₃=0.5, λ₄=0.2
2026-05-16 17:17:17,395 - BEST MODEL UPDATED - MAE_norm: 0.0541 | λ₃=0.5, λ₄=0.2
2026-05-16 17:17:34,936 - BEST MODEL UPDATED - MAE_norm: 0.0519 | λ₃=0.5, λ₄=0.2
2026-05-16 17:17:43,562 - BEST MODEL UPDATED - MAE_norm: 0.0509 | λ₃=0.5, λ₄=0.2
2026-05-16 17:17:52,414 - BEST MODEL UPDATED - MAE_norm: 0.0501 | λ₃=0.5, λ₄=0.2
2026-05-16 17:18:01,171 - BEST MODEL UPDATED - MAE_norm: 0.0493 | λ₃=0.5, λ₄=0.2
2026-05-16 17:18:09,963 - BEST MODEL UPDATED - MAE_norm: 0.0489 | λ₃=0.5, λ₄=0.2
2026-05-16 17:18:18,729 - BEST MODEL UPDATED - MAE_norm: 0.0478 | λ₃=0.5, λ₄=0.2
2026-05-16 17:18:36,444 - BEST MODEL UPDATED - MAE_norm: 0.0475 | λ₃=0.5, λ₄=0.2
2026-05-16 17:18:53,692 - BEST MODEL UPDATED - MAE_norm: 0.0465 | λ₃=0.5, λ₄=0.2
2026-05-16 17:19:45,512 - BEST MODEL UPDATED - MAE_norm: 0.0457 | λ₃=0.5, λ₄=0.2
2026-05-16 17:20:11,949 - BEST MODEL UPDATED - MAE_norm: 0.0454 | λ₃=0.5, λ₄=0.2
2026-05-16 17:20:20,697 - BEST MODEL UPDATED - MAE_norm: 0.0452 | λ₃=0.5, λ₄=0.2
2026-05-16 17:21:58,402 - BEST MODEL UPDATED - MAE_norm: 0.0449 | λ₃=0.5, λ₄=0.2
2026-05-16 17:22:07,128 - BEST MODEL UPDATED - MAE_norm: 0.0448 | λ₃=0.5, λ₄=0.2
2026-05-16 17:22:24,559 - BEST MODEL UPDATED - MAE_norm: 0.0448 | λ₃=0.5, λ₄=0.2
2026-05-16 17:22:24,559 - Finished BiGRU6L_l3_0.5_l4_0.2 - Best MAE_norm: 0.0448
