Step,Phase,Loss,MAE_norm,MAE_Watts,RMSE,R2,P95_Error_pct,MAPE,MaxErr,lambda3,lambda4
100,TRAIN,0.33742082118988037,0.16757500171661377,0.5832711458206177,0.22741620242595673,0.3769207000732422,56.27273941040039,26.27069652080536,2.5245399475097656,0.5,0.2
125,VALID,0.025125056505203247,0.12213484942913055,0.40359020233154297,0.16152147948741913,0.6910196542739868,51.43292999267578,18.909046053886414,2.32034969329834,0.5,0.2
200,TRAIN,0.18586261570453644,0.07896596193313599,0.24630890786647797,0.11792514473199844,0.864949107170105,30.221750259399414,12.19608336687088,1.5287071466445923,0.5,0.2
250,VALID,0.013201134541304782,0.07445996254682541,0.2311612367630005,0.10806331038475037,0.8616985082626343,37.84518051147461,11.414577066898346,1.286330223083496,0.5,0.2
300,TRAIN,0.08990035206079483,0.06138154864311218,0.19249996542930603,0.08862101286649704,0.907874584197998,23.417526245117188,9.28095281124115,1.0010719299316406,0.5,0.2
375,VALID,0.011482644913485274,0.06841336190700531,0.21469314396381378,0.0970015600323677,0.8885634541511536,33.80949020385742,10.520932078361511,1.1692665815353394,0.5,0.2
400,TRAIN,0.016337662935256958,0.0670754462480545,0.19525794684886932,0.09824522584676743,0.9008137583732605,39.97533416748047,11.26125305891037,0.7700471878051758,0.5,0.2
500,TRAIN,-0.05976270139217377,0.06723850220441818,0.19812777638435364,0.08555144816637039,0.9289401173591614,31.134963989257812,11.075487732887268,0.7689781188964844,0.5,0.2
500,VALID,0.010499808340682648,0.0641452744603157,0.20191599428653717,0.09100768715143204,0.901909589767456,32.609771728515625,9.63561162352562,1.0877735614776611,0.5,0.2
600,TRAIN,-0.123772531747818,0.04799991101026535,0.15211796760559082,0.061263132840394974,0.9527773857116699,23.629756927490234,7.553111016750336,0.4801962375640869,0.5,0.2
625,VALID,0.009896346760797314,0.06279924511909485,0.1981963813304901,0.08579816669225693,0.9128180742263794,29.033952713012695,9.600096940994263,1.025665521621704,0.5,0.2
700,TRAIN,-0.16323044896125793,0.06293222308158875,0.21888157725334167,0.0828222781419754,0.929767906665802,24.486099243164062,8.883905410766602,0.8339717388153076,0.5,0.2
750,VALID,0.009545537599478848,0.06150909513235092,0.1947280913591385,0.0831647515296936,0.9180877804756165,28.066804885864258,9.387609362602234,1.02323317527771,0.5,0.2
800,TRAIN,-0.20034100115299225,0.05966784805059433,0.18684858083724976,0.0868220180273056,0.9146815538406372,30.060535430908203,8.843647688627243,1.0240757465362549,0.5,0.2
875,VALID,0.00921585263859015,0.06029530242085457,0.19053705036640167,0.08065430819988251,0.9229583740234375,26.87853240966797,9.226949512958527,0.9738587141036987,0.5,0.2
900,TRAIN,-0.2398892045021057,0.056005802005529404,0.16907170414924622,0.07682899385690689,0.9273301362991333,23.895526885986328,8.46407562494278,0.6209132671356201,0.5,0.2
1000,TRAIN,-0.2626199722290039,0.05908345803618431,0.1829925924539566,0.07900257408618927,0.9280078411102295,27.4859619140625,9.293792396783829,0.630835771560669,0.5,0.2
1000,VALID,0.009694849330116995,0.06404563039541245,0.2038835734128952,0.08174561709165573,0.9208593964576721,26.720598220825195,10.042420029640198,0.9234699010848999,0.5,0.2
1100,TRAIN,-0.27027371525764465,0.06642363220453262,0.21154165267944336,0.08666013926267624,0.9063594937324524,25.435688018798828,9.849362075328827,0.6507339477539062,0.5,0.2
1125,VALID,0.008791108033619821,0.05828540399670601,0.1851038932800293,0.07779089361429214,0.9283316135406494,26.227100372314453,8.82319062948227,0.9814391136169434,0.5,0.2
1200,TRAIN,-0.28574228286743164,0.0682954266667366,0.20267410576343536,0.08614938706159592,0.9170325398445129,28.306913375854492,11.080635339021683,0.7564859390258789,0.5,0.2
1250,VALID,0.008661085026687942,0.05730396509170532,0.18265201151371002,0.07730690389871597,0.9292206168174744,25.62064552307129,8.618884533643723,0.9548404216766357,0.5,0.2
1300,TRAIN,-0.31754186749458313,0.05653584003448486,0.1817023754119873,0.07478207349777222,0.9457361698150635,21.76451301574707,8.68157297372818,0.7814350128173828,0.5,0.2
1375,VALID,0.00861403756425716,0.05848002806305885,0.18558670580387115,0.07523597776889801,0.9329619407653809,25.088085174560547,9.06018540263176,0.9119503498077393,0.5,0.2
1400,TRAIN,-0.3254702389240265,0.0627753958106041,0.20527257025241852,0.07723092287778854,0.9335694313049316,25.947771072387695,10.021418333053589,0.5162327289581299,0.5,0.2
1500,TRAIN,-0.3398878574371338,0.05831282585859299,0.20021867752075195,0.07542011141777039,0.9400210380554199,19.736454010009766,8.300529420375824,0.6618270874023438,0.5,0.2
1500,VALID,0.008916650622268207,0.058799464255571365,0.19220413267612457,0.07878275215625763,0.9264923334121704,24.956527709960938,8.534103631973267,0.9525942802429199,0.5,0.2
1600,TRAIN,-0.36878979206085205,0.05039828270673752,0.18408697843551636,0.06524515151977539,0.9574859142303467,18.032188415527344,7.024528086185455,0.775688886642456,0.5,0.2
1625,VALID,0.00803054372954648,0.05476151406764984,0.17652073502540588,0.07226226478815079,0.9381566047668457,23.333703994750977,8.22177305817604,0.9072986841201782,0.5,0.2
1700,TRAIN,-0.3261251449584961,0.06240507587790489,0.1963162124156952,0.08487138152122498,0.921728789806366,26.907052993774414,9.351213276386261,0.7858986854553223,0.5,0.2
1750,VALID,0.007968920690473169,0.05494897812604904,0.1780327558517456,0.07124193757772446,0.9398906826972961,23.194988250732422,8.317402750253677,0.9061832427978516,0.5,0.2
