2026-05-16 16:51:51,814 - Successfully loaded pretrained weights from: /home/deltax/research/May_bien_ap/try_4/Experiment_2/checkpoints_exp2_pretrain/BiGRU_6L/best.pth
2026-05-16 16:52:00,733 - BEST MODEL UPDATED - MAE_norm: 0.1233 | λ₃=0.3, λ₄=0.2
2026-05-16 16:52:09,678 - BEST MODEL UPDATED - MAE_norm: 0.0747 | λ₃=0.3, λ₄=0.2
2026-05-16 16:52:18,659 - BEST MODEL UPDATED - MAE_norm: 0.0691 | λ₃=0.3, λ₄=0.2
2026-05-16 16:52:27,579 - BEST MODEL UPDATED - MAE_norm: 0.0649 | λ₃=0.3, λ₄=0.2
2026-05-16 16:52:36,522 - BEST MODEL UPDATED - MAE_norm: 0.0624 | λ₃=0.3, λ₄=0.2
2026-05-16 16:52:45,590 - BEST MODEL UPDATED - MAE_norm: 0.0621 | λ₃=0.3, λ₄=0.2
2026-05-16 16:52:54,295 - BEST MODEL UPDATED - MAE_norm: 0.0612 | λ₃=0.3, λ₄=0.2
2026-05-16 16:53:11,984 - BEST MODEL UPDATED - MAE_norm: 0.0597 | λ₃=0.3, λ₄=0.2
2026-05-16 16:53:20,748 - BEST MODEL UPDATED - MAE_norm: 0.0584 | λ₃=0.3, λ₄=0.2
2026-05-16 16:53:29,474 - BEST MODEL UPDATED - MAE_norm: 0.0571 | λ₃=0.3, λ₄=0.2
2026-05-16 16:53:38,200 - BEST MODEL UPDATED - MAE_norm: 0.0562 | λ₃=0.3, λ₄=0.2
2026-05-16 16:54:30,468 - BEST MODEL UPDATED - MAE_norm: 0.0521 | λ₃=0.3, λ₄=0.2
2026-05-16 16:54:39,550 - BEST MODEL UPDATED - MAE_norm: 0.0511 | λ₃=0.3, λ₄=0.2
2026-05-16 16:54:57,767 - BEST MODEL UPDATED - MAE_norm: 0.0500 | λ₃=0.3, λ₄=0.2
2026-05-16 16:55:15,555 - BEST MODEL UPDATED - MAE_norm: 0.0487 | λ₃=0.3, λ₄=0.2
2026-05-16 16:55:24,184 - BEST MODEL UPDATED - MAE_norm: 0.0484 | λ₃=0.3, λ₄=0.2
2026-05-16 16:55:41,816 - BEST MODEL UPDATED - MAE_norm: 0.0465 | λ₃=0.3, λ₄=0.2
2026-05-16 16:56:26,110 - BEST MODEL UPDATED - MAE_norm: 0.0460 | λ₃=0.3, λ₄=0.2
2026-05-16 16:56:34,951 - BEST MODEL UPDATED - MAE_norm: 0.0458 | λ₃=0.3, λ₄=0.2
2026-05-16 16:57:01,317 - BEST MODEL UPDATED - MAE_norm: 0.0455 | λ₃=0.3, λ₄=0.2
2026-05-16 16:57:36,617 - BEST MODEL UPDATED - MAE_norm: 0.0453 | λ₃=0.3, λ₄=0.2
2026-05-16 16:58:38,829 - BEST MODEL UPDATED - MAE_norm: 0.0450 | λ₃=0.3, λ₄=0.2
2026-05-16 16:59:13,549 - Finished BiGRU6L_l3_0.3_l4_0.2 - Best MAE_norm: 0.0450
