2026-05-16 16:59:32,343 - Successfully loaded pretrained weights from: /home/deltax/research/May_bien_ap/try_4/Experiment_2/checkpoints_exp2_pretrain/BiGRU_6L/best.pth
2026-05-16 16:59:41,285 - BEST MODEL UPDATED - MAE_norm: 0.1155 | λ₃=0.5, λ₄=0.05
2026-05-16 16:59:50,162 - BEST MODEL UPDATED - MAE_norm: 0.0744 | λ₃=0.5, λ₄=0.05
2026-05-16 16:59:59,201 - BEST MODEL UPDATED - MAE_norm: 0.0661 | λ₃=0.5, λ₄=0.05
2026-05-16 17:00:16,837 - BEST MODEL UPDATED - MAE_norm: 0.0628 | λ₃=0.5, λ₄=0.05
2026-05-16 17:00:25,850 - BEST MODEL UPDATED - MAE_norm: 0.0619 | λ₃=0.5, λ₄=0.05
2026-05-16 17:00:34,820 - BEST MODEL UPDATED - MAE_norm: 0.0618 | λ₃=0.5, λ₄=0.05
2026-05-16 17:00:43,875 - BEST MODEL UPDATED - MAE_norm: 0.0608 | λ₃=0.5, λ₄=0.05
2026-05-16 17:00:53,217 - BEST MODEL UPDATED - MAE_norm: 0.0605 | λ₃=0.5, λ₄=0.05
2026-05-16 17:01:02,432 - BEST MODEL UPDATED - MAE_norm: 0.0605 | λ₃=0.5, λ₄=0.05
2026-05-16 17:01:20,568 - BEST MODEL UPDATED - MAE_norm: 0.0594 | λ₃=0.5, λ₄=0.05
2026-05-16 17:01:47,414 - BEST MODEL UPDATED - MAE_norm: 0.0586 | λ₃=0.5, λ₄=0.05
2026-05-16 17:02:14,466 - BEST MODEL UPDATED - MAE_norm: 0.0586 | λ₃=0.5, λ₄=0.05
2026-05-16 17:02:23,286 - BEST MODEL UPDATED - MAE_norm: 0.0574 | λ₃=0.5, λ₄=0.05
2026-05-16 17:02:50,215 - BEST MODEL UPDATED - MAE_norm: 0.0574 | λ₃=0.5, λ₄=0.05
2026-05-16 17:02:59,259 - BEST MODEL UPDATED - MAE_norm: 0.0557 | λ₃=0.5, λ₄=0.05
2026-05-16 17:03:25,691 - BEST MODEL UPDATED - MAE_norm: 0.0534 | λ₃=0.5, λ₄=0.05
2026-05-16 17:03:52,515 - BEST MODEL UPDATED - MAE_norm: 0.0526 | λ₃=0.5, λ₄=0.05
2026-05-16 17:04:01,655 - BEST MODEL UPDATED - MAE_norm: 0.0512 | λ₃=0.5, λ₄=0.05
2026-05-16 17:04:10,831 - BEST MODEL UPDATED - MAE_norm: 0.0502 | λ₃=0.5, λ₄=0.05
2026-05-16 17:04:19,964 - BEST MODEL UPDATED - MAE_norm: 0.0493 | λ₃=0.5, λ₄=0.05
2026-05-16 17:04:38,300 - BEST MODEL UPDATED - MAE_norm: 0.0483 | λ₃=0.5, λ₄=0.05
2026-05-16 17:04:56,312 - BEST MODEL UPDATED - MAE_norm: 0.0476 | λ₃=0.5, λ₄=0.05
2026-05-16 17:05:05,258 - BEST MODEL UPDATED - MAE_norm: 0.0473 | λ₃=0.5, λ₄=0.05
2026-05-16 17:05:14,257 - BEST MODEL UPDATED - MAE_norm: 0.0472 | λ₃=0.5, λ₄=0.05
2026-05-16 17:05:22,934 - BEST MODEL UPDATED - MAE_norm: 0.0471 | λ₃=0.5, λ₄=0.05
2026-05-16 17:05:31,917 - BEST MODEL UPDATED - MAE_norm: 0.0470 | λ₃=0.5, λ₄=0.05
2026-05-16 17:05:40,795 - BEST MODEL UPDATED - MAE_norm: 0.0466 | λ₃=0.5, λ₄=0.05
2026-05-16 17:06:43,182 - BEST MODEL UPDATED - MAE_norm: 0.0457 | λ₃=0.5, λ₄=0.05
2026-05-16 17:07:01,144 - Finished BiGRU6L_l3_0.5_l4_0.05 - Best MAE_norm: 0.0457
