2026-05-16 17:30:25,366 - Successfully loaded pretrained weights from: /home/deltax/research/May_bien_ap/try_4/Experiment_2/checkpoints_exp2_pretrain/BiGRU_6L/best.pth
2026-05-16 17:30:33,709 - BEST MODEL UPDATED - MAE_norm: 0.1191 | λ₃=1.0, λ₄=0.1
2026-05-16 17:30:42,391 - BEST MODEL UPDATED - MAE_norm: 0.0814 | λ₃=1.0, λ₄=0.1
2026-05-16 17:30:51,463 - BEST MODEL UPDATED - MAE_norm: 0.0724 | λ₃=1.0, λ₄=0.1
2026-05-16 17:31:00,478 - BEST MODEL UPDATED - MAE_norm: 0.0716 | λ₃=1.0, λ₄=0.1
2026-05-16 17:31:09,287 - BEST MODEL UPDATED - MAE_norm: 0.0679 | λ₃=1.0, λ₄=0.1
2026-05-16 17:31:18,057 - BEST MODEL UPDATED - MAE_norm: 0.0657 | λ₃=1.0, λ₄=0.1
2026-05-16 17:31:27,215 - BEST MODEL UPDATED - MAE_norm: 0.0647 | λ₃=1.0, λ₄=0.1
2026-05-16 17:31:35,907 - BEST MODEL UPDATED - MAE_norm: 0.0646 | λ₃=1.0, λ₄=0.1
2026-05-16 17:31:43,901 - BEST MODEL UPDATED - MAE_norm: 0.0636 | λ₃=1.0, λ₄=0.1
2026-05-16 17:31:52,707 - BEST MODEL UPDATED - MAE_norm: 0.0627 | λ₃=1.0, λ₄=0.1
2026-05-16 17:32:10,853 - BEST MODEL UPDATED - MAE_norm: 0.0613 | λ₃=1.0, λ₄=0.1
2026-05-16 17:32:28,832 - BEST MODEL UPDATED - MAE_norm: 0.0613 | λ₃=1.0, λ₄=0.1
2026-05-16 17:32:46,824 - BEST MODEL UPDATED - MAE_norm: 0.0601 | λ₃=1.0, λ₄=0.1
2026-05-16 17:33:13,303 - BEST MODEL UPDATED - MAE_norm: 0.0592 | λ₃=1.0, λ₄=0.1
2026-05-16 17:33:22,105 - BEST MODEL UPDATED - MAE_norm: 0.0589 | λ₃=1.0, λ₄=0.1
2026-05-16 17:33:31,061 - BEST MODEL UPDATED - MAE_norm: 0.0571 | λ₃=1.0, λ₄=0.1
2026-05-16 17:33:48,706 - BEST MODEL UPDATED - MAE_norm: 0.0570 | λ₃=1.0, λ₄=0.1
2026-05-16 17:33:57,411 - BEST MODEL UPDATED - MAE_norm: 0.0543 | λ₃=1.0, λ₄=0.1
2026-05-16 17:34:14,865 - BEST MODEL UPDATED - MAE_norm: 0.0541 | λ₃=1.0, λ₄=0.1
2026-05-16 17:34:23,805 - BEST MODEL UPDATED - MAE_norm: 0.0522 | λ₃=1.0, λ₄=0.1
2026-05-16 17:34:32,945 - BEST MODEL UPDATED - MAE_norm: 0.0513 | λ₃=1.0, λ₄=0.1
2026-05-16 17:34:41,903 - BEST MODEL UPDATED - MAE_norm: 0.0502 | λ₃=1.0, λ₄=0.1
2026-05-16 17:34:50,462 - BEST MODEL UPDATED - MAE_norm: 0.0493 | λ₃=1.0, λ₄=0.1
2026-05-16 17:35:17,392 - BEST MODEL UPDATED - MAE_norm: 0.0481 | λ₃=1.0, λ₄=0.1
2026-05-16 17:35:34,788 - BEST MODEL UPDATED - MAE_norm: 0.0478 | λ₃=1.0, λ₄=0.1
2026-05-16 17:35:43,414 - BEST MODEL UPDATED - MAE_norm: 0.0467 | λ₃=1.0, λ₄=0.1
2026-05-16 17:35:52,408 - BEST MODEL UPDATED - MAE_norm: 0.0467 | λ₃=1.0, λ₄=0.1
2026-05-16 17:36:01,136 - BEST MODEL UPDATED - MAE_norm: 0.0466 | λ₃=1.0, λ₄=0.1
2026-05-16 17:36:09,785 - BEST MODEL UPDATED - MAE_norm: 0.0466 | λ₃=1.0, λ₄=0.1
2026-05-16 17:36:27,129 - BEST MODEL UPDATED - MAE_norm: 0.0464 | λ₃=1.0, λ₄=0.1
2026-05-16 17:37:02,172 - BEST MODEL UPDATED - MAE_norm: 0.0463 | λ₃=1.0, λ₄=0.1
2026-05-16 17:37:20,222 - BEST MODEL UPDATED - MAE_norm: 0.0457 | λ₃=1.0, λ₄=0.1
2026-05-16 17:37:38,069 - BEST MODEL UPDATED - MAE_norm: 0.0457 | λ₃=1.0, λ₄=0.1
2026-05-16 17:37:46,917 - Finished BiGRU6L_l3_1.0_l4_0.1 - Best MAE_norm: 0.0457
