Step,Phase,Loss,MAE_norm,MAE_Watts,RMSE,R2,P95_Error_pct,MAPE,MaxErr
100,TRAIN,0.0340394526720047,0.1613069474697113,0.6378519535064697,0.18925516307353973,0.6169228553771973,53.05471420288086,24.85584169626236,1.9144697189331055
125,VALID,0.02250524057308212,0.11140790581703186,0.3652052879333496,0.1493169367313385,0.7415037155151367,46.52250671386719,16.990742087364197,2.012378215789795
200,TRAIN,0.010857597924768925,0.06734170019626617,0.1938294768333435,0.09081219881772995,0.8872321844100952,26.63420867919922,10.589101910591125,0.636873722076416
250,VALID,0.011872802599100396,0.06907140463590622,0.21317780017852783,0.09993226826190948,0.8842162489891052,35.39434051513672,10.693363100290298,1.261142373085022
300,TRAIN,0.009401872754096985,0.05900638550519943,0.19736908376216888,0.08368074893951416,0.9208664894104004,25.371234893798828,8.848842978477478,0.9072465896606445
375,VALID,0.010931618046015501,0.06577575951814651,0.20500068366527557,0.09361515939235687,0.898391842842102,34.06737518310547,10.207626968622208,1.1771347522735596
400,TRAIN,0.009230153635144234,0.05872833728790283,0.19181421399116516,0.08194290846586227,0.9170066118240356,23.72760009765625,8.544870465993881,0.7525746822357178
500,TRAIN,0.011874167248606682,0.06987632811069489,0.21062934398651123,0.09885884076356888,0.8862749934196472,32.32462692260742,10.352987051010132,0.7799434661865234
500,VALID,0.010264399839797989,0.06237199530005455,0.19470055401325226,0.08976392447948456,0.9065800309181213,30.577909469604492,9.411201626062393,1.1308865547180176
600,TRAIN,0.007694659288972616,0.048828162252902985,0.14872238039970398,0.07499124109745026,0.9413453936576843,21.866350173950195,7.394427061080933,1.0723521709442139
625,VALID,0.009693796178908087,0.06052996590733528,0.19078567624092102,0.0854933112859726,0.9152576923370361,30.5675048828125,9.17305126786232,1.0382908582687378
700,TRAIN,0.01064497884362936,0.0644795149564743,0.21104364097118378,0.09161907434463501,0.8908918499946594,27.69045066833496,9.181313216686249,0.8647894859313965
750,VALID,0.009416265500476584,0.05912306159734726,0.18650302290916443,0.08366791903972626,0.9188377261161804,29.481781005859375,8.91428142786026,1.0480142831802368
800,TRAIN,0.008029286749660969,0.05593632534146309,0.16696923971176147,0.06979475915431976,0.94157874584198,29.309329986572266,9.281706809997559,0.42883384227752686
875,VALID,0.009189476826577447,0.058056674897670746,0.18356432020664215,0.0822141021490097,0.921633780002594,28.54083824157715,8.690008521080017,1.0312451124191284
900,TRAIN,0.008124098181724548,0.05323757976293564,0.1631806194782257,0.07483769953250885,0.9353998899459839,25.255887985229492,8.324441313743591,0.6916022300720215
1000,TRAIN,0.0074315667152404785,0.051750317215919495,0.17616672813892365,0.06717938184738159,0.9467223882675171,24.240421295166016,7.953248172998428,0.629074215888977
1000,VALID,0.008910701959393919,0.057349469512701035,0.18196317553520203,0.07949937134981155,0.9267237186431885,28.65426254272461,8.723041415214539,0.9809362888336182
1100,TRAIN,0.011800656095147133,0.07418696582317352,0.2161336988210678,0.0936158075928688,0.8990163207054138,32.07780456542969,12.694568932056427,0.8101015090942383
1125,VALID,0.00862244910968002,0.056225161999464035,0.17919178307056427,0.07749747484922409,0.930367648601532,27.331167221069336,8.516254276037216,0.9410984516143799
1200,TRAIN,0.008707341738045216,0.058539342135190964,0.18491366505622864,0.07554346323013306,0.9323444962501526,23.08468246459961,8.973515778779984,0.7534613609313965
1250,VALID,0.00857159573934041,0.05544271320104599,0.1770881712436676,0.07767848670482635,0.9300419688224792,26.658164978027344,8.24650451540947,0.9745776653289795
1300,TRAIN,0.00850756373256445,0.05688367038965225,0.16847091913223267,0.0750892385840416,0.9372246861457825,27.42675018310547,9.38764289021492,0.5732011795043945
1375,VALID,0.00828176511276979,0.05470513924956322,0.17443852126598358,0.07503533363342285,0.9347218871116638,26.51455307006836,8.323909342288971,0.9384384155273438
1400,TRAIN,0.007046330254524946,0.04813862219452858,0.1535899043083191,0.0668201744556427,0.9523653984069824,25.045848846435547,7.470254600048065,0.6906394958496094
1500,TRAIN,0.005882890895009041,0.04241201654076576,0.1489567756652832,0.05730076879262924,0.9655943512916565,14.571380615234375,6.170446798205376,0.5383234024047852
1500,VALID,0.008037283128942363,0.05334173142910004,0.1708911806344986,0.07341956347227097,0.937502920627594,25.382761001586914,8.054812997579575,0.9432520866394043
1600,TRAIN,0.008089412935078144,0.053252801299095154,0.16726315021514893,0.07435230910778046,0.9281653761863708,20.79180335998535,8.136694878339767,0.6609606742858887
1625,VALID,0.00809970439877361,0.053134698420763016,0.17051546275615692,0.0744977593421936,0.9356538653373718,24.5771541595459,7.834536582231522,0.9695851802825928
1700,TRAIN,0.006361435167491436,0.04578045755624771,0.15906935930252075,0.05972250550985336,0.962375283241272,16.917926788330078,6.754958629608154,0.5682859420776367
1750,VALID,0.007721218484221026,0.0519833043217659,0.16732874512672424,0.07098354399204254,0.9415813684463501,24.95897102355957,7.861311733722687,0.9192774295806885
1800,TRAIN,0.009448438882827759,0.060670267790555954,0.18468035757541656,0.0822363942861557,0.9273000955581665,28.10837745666504,9.506820142269135,0.8646349906921387
1875,VALID,0.007634350287844427,0.05132899433374405,0.16538934409618378,0.07069849967956543,0.9420496225357056,23.56618881225586,7.681341469287872,0.929405689239502
1900,TRAIN,0.009914327412843704,0.0645994171500206,0.20956791937351227,0.08311901241540909,0.9179353713989258,23.24612045288086,9.605772793293,0.6520893573760986
2000,TRAIN,0.007304673548787832,0.05120076611638069,0.16836218535900116,0.0660998746752739,0.9563494920730591,24.219661712646484,8.090145140886307,0.5591669082641602
2000,VALID,0.007639571398613043,0.05217917636036873,0.16793830692768097,0.06959604471921921,0.9438428282737732,24.32535743713379,8.074655383825302,0.8900948762893677
2100,TRAIN,0.006142179481685162,0.04187080264091492,0.13851548731327057,0.06253157556056976,0.9544453024864197,18.032867431640625,6.0320936143398285,0.9190318584442139
2125,VALID,0.007348791172262281,0.05024759843945503,0.1628119796514511,0.06811299920082092,0.9462106823921204,23.496585845947266,7.594769448041916,0.8859615325927734
2200,TRAIN,0.005671968683600426,0.04161130636930466,0.13841316103935242,0.054969772696495056,0.9695596694946289,17.61806869506836,6.444873660802841,0.4989511966705322
2250,VALID,0.007406065808027051,0.05021614953875542,0.16316263377666473,0.06905991584062576,0.9447047114372253,22.71684455871582,7.453938573598862,0.9391659498214722
2300,TRAIN,0.007530428934842348,0.04985393211245537,0.15634101629257202,0.07134473323822021,0.9466704726219177,24.223478317260742,7.589894533157349,0.7057127952575684
2375,VALID,0.0071819852164480835,0.049689166247844696,0.16090720891952515,0.06657218188047409,0.9486167430877686,23.104801177978516,7.628925144672394,0.8676574230194092
2400,TRAIN,0.007920337840914726,0.0531105101108551,0.16314084827899933,0.0722397044301033,0.9428794384002686,26.163908004760742,8.459684252738953,0.6794331073760986
2500,TRAIN,0.008346594870090485,0.05566525086760521,0.1714806854724884,0.07456634193658829,0.9334776997566223,27.306285858154297,9.007450938224792,0.5931568145751953
2500,VALID,0.00755159386608284,0.052185602486133575,0.1674910932779312,0.06845640391111374,0.9456669092178345,24.277183532714844,8.22833925485611,0.8328169584274292
2600,TRAIN,0.009128124453127384,0.06086578220129013,0.18117564916610718,0.07799418270587921,0.9152491688728333,27.08271598815918,9.623068571090698,0.6547079086303711
2625,VALID,0.007175326449214481,0.04987388476729393,0.1621118038892746,0.0661855936050415,0.9492117762565613,22.679689407348633,7.698244601488113,0.8384081125259399
2700,TRAIN,0.006867784541100264,0.04936977103352547,0.15682661533355713,0.062141891568899155,0.9479451179504395,19.518966674804688,7.581987977027893,0.5119550228118896
