2026-05-16 16:44:18,070 - Successfully loaded pretrained weights from: /home/deltax/research/May_bien_ap/try_4/Experiment_2/checkpoints_exp2_pretrain/BiGRU_6L/best.pth
2026-05-16 16:44:24,703 - BEST MODEL UPDATED - MAE_norm: 0.1204 | λ₃=0.3, λ₄=0.1
2026-05-16 16:44:33,637 - BEST MODEL UPDATED - MAE_norm: 0.0721 | λ₃=0.3, λ₄=0.1
2026-05-16 16:44:42,510 - BEST MODEL UPDATED - MAE_norm: 0.0664 | λ₃=0.3, λ₄=0.1
2026-05-16 16:44:51,265 - BEST MODEL UPDATED - MAE_norm: 0.0632 | λ₃=0.3, λ₄=0.1
2026-05-16 16:45:00,118 - BEST MODEL UPDATED - MAE_norm: 0.0625 | λ₃=0.3, λ₄=0.1
2026-05-16 16:45:08,730 - BEST MODEL UPDATED - MAE_norm: 0.0601 | λ₃=0.3, λ₄=0.1
2026-05-16 16:45:26,166 - BEST MODEL UPDATED - MAE_norm: 0.0600 | λ₃=0.3, λ₄=0.1
2026-05-16 16:45:34,895 - BEST MODEL UPDATED - MAE_norm: 0.0584 | λ₃=0.3, λ₄=0.1
2026-05-16 16:45:43,287 - BEST MODEL UPDATED - MAE_norm: 0.0572 | λ₃=0.3, λ₄=0.1
2026-05-16 16:46:18,324 - BEST MODEL UPDATED - MAE_norm: 0.0568 | λ₃=0.3, λ₄=0.1
2026-05-16 16:46:26,917 - BEST MODEL UPDATED - MAE_norm: 0.0568 | λ₃=0.3, λ₄=0.1
2026-05-16 16:46:44,523 - BEST MODEL UPDATED - MAE_norm: 0.0554 | λ₃=0.3, λ₄=0.1
2026-05-16 16:46:53,145 - BEST MODEL UPDATED - MAE_norm: 0.0546 | λ₃=0.3, λ₄=0.1
2026-05-16 16:47:19,220 - BEST MODEL UPDATED - MAE_norm: 0.0544 | λ₃=0.3, λ₄=0.1
2026-05-16 16:47:28,158 - BEST MODEL UPDATED - MAE_norm: 0.0524 | λ₃=0.3, λ₄=0.1
2026-05-16 16:47:54,477 - BEST MODEL UPDATED - MAE_norm: 0.0522 | λ₃=0.3, λ₄=0.1
2026-05-16 16:48:03,130 - BEST MODEL UPDATED - MAE_norm: 0.0503 | λ₃=0.3, λ₄=0.1
2026-05-16 16:48:20,580 - BEST MODEL UPDATED - MAE_norm: 0.0487 | λ₃=0.3, λ₄=0.1
2026-05-16 16:48:38,172 - BEST MODEL UPDATED - MAE_norm: 0.0478 | λ₃=0.3, λ₄=0.1
2026-05-16 16:48:46,993 - BEST MODEL UPDATED - MAE_norm: 0.0476 | λ₃=0.3, λ₄=0.1
2026-05-16 16:49:04,020 - BEST MODEL UPDATED - MAE_norm: 0.0473 | λ₃=0.3, λ₄=0.1
2026-05-16 16:49:30,393 - BEST MODEL UPDATED - MAE_norm: 0.0465 | λ₃=0.3, λ₄=0.1
2026-05-16 16:49:48,093 - BEST MODEL UPDATED - MAE_norm: 0.0464 | λ₃=0.3, λ₄=0.1
2026-05-16 16:49:56,990 - BEST MODEL UPDATED - MAE_norm: 0.0462 | λ₃=0.3, λ₄=0.1
2026-05-16 16:51:15,359 - BEST MODEL UPDATED - MAE_norm: 0.0456 | λ₃=0.3, λ₄=0.1
2026-05-16 16:51:32,883 - Finished BiGRU6L_l3_0.3_l4_0.1 - Best MAE_norm: 0.0456
