Step,Loss,MAE,RMSE,R2,95th_Pct_Error,GradNorm
100,1.1768131256103516,0.8020023107528687,0.9675807356834412,-0.04167807102203369,174.04466247558594,"tensor(84463.6484, device='cuda:0')"
200,1.4484565258026123,0.8915423154830933,1.0867353677749634,-0.019930720329284668,161.08950805664062,"tensor(137974.8594, device='cuda:0')"
300,1.3705490827560425,0.8378227949142456,1.0579235553741455,-0.021873116493225098,134.4333038330078,"tensor(145817.1875, device='cuda:0')"
400,0.8674567937850952,0.7021017074584961,0.810448169708252,0.07884997129440308,104.3799057006836,"tensor(78353.8281, device='cuda:0')"
500,0.9117870330810547,0.7046048045158386,0.836902379989624,0.12261027097702026,104.9438247680664,"tensor(89276.6797, device='cuda:0')"
600,1.1354000568389893,0.7886065244674683,0.9480602145195007,0.18797701597213745,125.01728057861328,"tensor(116823.8281, device='cuda:0')"
700,0.9536765813827515,0.7185964584350586,0.859126091003418,0.29002124071121216,99.86014556884766,"tensor(117154.5859, device='cuda:0')"
800,0.7101837396621704,0.624542772769928,0.7230635285377502,0.44492900371551514,128.2115020751953,"tensor(116650.8438, device='cuda:0')"
900,0.6194208860397339,0.5657259225845337,0.6705990433692932,0.5409973859786987,94.25260162353516,"tensor(114107.6875, device='cuda:0')"
1000,0.4483153223991394,0.44466954469680786,0.5611724257469177,0.7237539291381836,199.51771545410156,"tensor(139065.8594, device='cuda:0')"
1100,0.4612070620059967,0.46417364478111267,0.5674107670783997,0.7648281455039978,191.115234375,"tensor(122246.4844, device='cuda:0')"
1200,0.18453288078308105,0.2560288608074188,0.3282136917114258,0.8744305968284607,172.88113403320312,"tensor(25245.7676, device='cuda:0')"
1300,0.08025377243757248,0.15057796239852905,0.18729756772518158,0.950223982334137,107.68389892578125,"tensor(25385.8105, device='cuda:0')"
1400,0.14488723874092102,0.20789144933223724,0.28726261854171753,0.9316902756690979,148.87937927246094,"tensor(42893.6445, device='cuda:0')"
1500,0.1163230687379837,0.17843131721019745,0.2505866587162018,0.9345002174377441,97.21478271484375,"tensor(19697.6914, device='cuda:0')"
1600,0.07194752246141434,0.13907524943351746,0.17385323345661163,0.9684940576553345,207.51626586914062,"tensor(15414.6680, device='cuda:0')"
1700,0.10980086028575897,0.17180687189102173,0.2413686066865921,0.9521804451942444,124.30245971679688,"tensor(46156.7734, device='cuda:0')"
1800,0.10287763923406601,0.15442435443401337,0.2378031313419342,0.9443832039833069,105.58903503417969,"tensor(28314.9648, device='cuda:0')"
1900,0.08180171996355057,0.1379924714565277,0.2010074108839035,0.9523773789405823,281.1045227050781,"tensor(15512.8193, device='cuda:0')"
2000,0.09869483858346939,0.15617626905441284,0.2276882827281952,0.9443399310112,90.37232208251953,"tensor(40309.8086, device='cuda:0')"
2100,0.09409952908754349,0.15316623449325562,0.21943029761314392,0.9416528344154358,231.79568481445312,"tensor(66483.4219, device='cuda:0')"
2200,0.09952526539564133,0.15780571103096008,0.22843718528747559,0.9539943337440491,265.0087585449219,"tensor(134297.3438, device='cuda:0')"
2300,0.07339990139007568,0.12943612039089203,0.1859275847673416,0.9634125232696533,155.845703125,"tensor(131708.3594, device='cuda:0')"
2400,0.11450179666280746,0.17516247928142548,0.24890369176864624,0.9411358833312988,135.01959228515625,"tensor(91027.5781, device='cuda:0')"
2500,0.05911557376384735,0.1178937777876854,0.15410204231739044,0.9765470027923584,62.84744644165039,"tensor(101832.3828, device='cuda:0')"
2600,0.06073558330535889,0.11447783559560776,0.16245687007904053,0.9743432402610779,125.17050170898438,"tensor(173375.1719, device='cuda:0')"
2700,0.08626511693000793,0.12972725927829742,0.2175935059785843,0.9292783141136169,238.90773010253906,"tensor(168872.1719, device='cuda:0')"
2800,0.10067961364984512,0.1571480631828308,0.2313767373561859,0.9456633925437927,203.782958984375,"tensor(68037.8984, device='cuda:0')"
2900,0.071099653840065,0.1207965835928917,0.1867101490497589,0.9585899114608765,351.5119323730469,"tensor(171850.9219, device='cuda:0')"
3000,0.09200066328048706,0.14805233478546143,0.21813978254795074,0.8971381783485413,316.4560852050781,"tensor(219582.9219, device='cuda:0')"
3100,0.06658409535884857,0.12366676330566406,0.17170925438404083,0.9749290943145752,96.15682983398438,"tensor(76836.6406, device='cuda:0')"
3200,0.11092498898506165,0.17149439454078674,0.24387839436531067,0.943663477897644,191.85345458984375,"tensor(312275.1562, device='cuda:0')"
3300,0.07495218515396118,0.1216907724738121,0.19607384502887726,0.9648952484130859,86.77320098876953,"tensor(66829.4609, device='cuda:0')"
3400,0.07023091614246368,0.1219632476568222,0.1834173947572708,0.9668055772781372,188.05552673339844,"tensor(280332.5000, device='cuda:0')"
3500,0.09278090298175812,0.1603635549545288,0.21135711669921875,0.9532768130302429,119.7656478881836,"tensor(220060.9062, device='cuda:0')"
