Step,Loss,MAE,RMSE,R2,95th_Pct_Error,GradNorm
100,1.3681832551956177,0.8913806676864624,1.0491753816604614,0.009533524513244629,184.41806030273438,"tensor(523614.9688, device='cuda:0')"
200,1.2021045684814453,0.7954792380332947,0.9815604090690613,0.05806076526641846,150.4597930908203,"tensor(259448.4062, device='cuda:0')"
300,1.1112236976623535,0.8119980692863464,0.9314635396003723,0.1375945806503296,356.60162353515625,"tensor(250821.2031, device='cuda:0')"
400,1.1282609701156616,0.8151167631149292,0.9400669932365417,0.28751152753829956,175.2393341064453,"tensor(298360.9062, device='cuda:0')"
500,0.8207340240478516,0.6362105011940002,0.7936440706253052,0.3837791085243225,601.45556640625,"tensor(201240.9219, device='cuda:0')"
600,0.7049591541290283,0.610395073890686,0.7223853468894958,0.4394226670265198,340.0572204589844,"tensor(246957.8906, device='cuda:0')"
700,0.4221385717391968,0.4432750940322876,0.5377323031425476,0.6163580417633057,258.1589050292969,"tensor(151391.2812, device='cuda:0')"
800,0.5000752210617065,0.4959706664085388,0.5926921963691711,0.6634457111358643,456.1061706542969,"tensor(175602.7812, device='cuda:0')"
900,0.33603620529174805,0.3828794062137604,0.4702896773815155,0.7739747762680054,210.79356384277344,"tensor(135001.9688, device='cuda:0')"
1000,0.34236615896224976,0.36913537979125977,0.48127490282058716,0.759249210357666,145.79226684570312,"tensor(191769.4219, device='cuda:0')"
1100,0.340503990650177,0.38260164856910706,0.4751036763191223,0.7859460115432739,207.65663146972656,"tensor(184146.8281, device='cuda:0')"
1200,0.2957603931427002,0.34209078550338745,0.4394691586494446,0.8479188680648804,352.0655822753906,"tensor(192868.2031, device='cuda:0')"
1300,0.2589688301086426,0.31735631823539734,0.40467506647109985,0.8189293742179871,1080.3355712890625,"tensor(192446.0312, device='cuda:0')"
1400,0.23198160529136658,0.29950809478759766,0.37700024247169495,0.8557270765304565,316.2601623535156,"tensor(192036.0312, device='cuda:0')"
1500,0.20015379786491394,0.2734757661819458,0.34367290139198303,0.8467671275138855,287.4314270019531,"tensor(160999.2031, device='cuda:0')"
1600,0.13075895607471466,0.20585423707962036,0.262683629989624,0.9411444664001465,68.77354431152344,"tensor(127009.4219, device='cuda:0')"
1700,0.1866178810596466,0.2533109188079834,0.33260276913642883,0.851848840713501,801.0689086914062,"tensor(181559.6406, device='cuda:0')"
1800,0.15598724782466888,0.23687167465686798,0.29142022132873535,0.9106782674789429,330.4661865234375,"tensor(104109.7266, device='cuda:0')"
1900,0.17161309719085693,0.23410913348197937,0.31840279698371887,0.8874322175979614,653.0935668945312,"tensor(165987.5625, device='cuda:0')"
2000,0.14630135893821716,0.20719264447689056,0.2900750935077667,0.899779200553894,592.1845703125,"tensor(127620.9922, device='cuda:0')"
2100,0.14940235018730164,0.22563159465789795,0.28585463762283325,0.8959439992904663,229.2432861328125,"tensor(103823.0781, device='cuda:0')"
2200,0.1640944480895996,0.229110985994339,0.30880603194236755,0.9044564962387085,298.8172302246094,"tensor(281580.1875, device='cuda:0')"
2300,0.1885431706905365,0.24858298897743225,0.33759188652038574,0.9081118106842041,188.0983428955078,"tensor(105380.4844, device='cuda:0')"
2400,0.16476185619831085,0.23303945362567902,0.3079772889614105,0.9062921404838562,369.52728271484375,"tensor(275254.5625, device='cuda:0')"
2500,0.10867775976657867,0.184461772441864,0.23095287382602692,0.9443953633308411,221.67605590820312,"tensor(77305.3203, device='cuda:0')"
2600,0.13357654213905334,0.2041807472705841,0.26892808079719543,0.9330862760543823,257.54376220703125,"tensor(77016.1953, device='cuda:0')"
2700,0.15877850353717804,0.23894575238227844,0.2951182425022125,0.9280214309692383,463.6132507324219,"tensor(175002.9375, device='cuda:0')"
2800,0.1181202232837677,0.18893606960773468,0.24786972999572754,0.9372777938842773,277.95074462890625,"tensor(81510.4531, device='cuda:0')"
2900,0.08633048087358475,0.15125976502895355,0.20236736536026,0.9575143456459045,102.71553802490234,"tensor(53593.9688, device='cuda:0')"
3000,0.11311416327953339,0.18302419781684875,0.2412610650062561,0.9478703737258911,398.8089904785156,"tensor(113232.0156, device='cuda:0')"
3100,0.1035674512386322,0.18338146805763245,0.22034746408462524,0.9510167837142944,163.9610595703125,"tensor(119428.1797, device='cuda:0')"
3200,0.12217243760824203,0.19637854397296906,0.25151315331459045,0.9342342019081116,406.6046447753906,"tensor(150310.8750, device='cuda:0')"
3300,0.08069787919521332,0.14269348978996277,0.19465310871601105,0.9498674273490906,133.34449768066406,"tensor(68794.0391, device='cuda:0')"
3400,0.11749504506587982,0.2028953731060028,0.23796308040618896,0.9324197769165039,161.66273498535156,"tensor(230874.0156, device='cuda:0')"
3500,0.10592229664325714,0.17613348364830017,0.2303958535194397,0.9573432207107544,97.10114288330078,"tensor(57945.2656, device='cuda:0')"
3600,0.13009199500083923,0.19951996207237244,0.26502078771591187,0.9445724487304688,512.708740234375,"tensor(77472.8906, device='cuda:0')"
3700,0.11530983448028564,0.19782008230686188,0.2365667074918747,0.9318035840988159,457.2939453125,"tensor(205300.7344, device='cuda:0')"
3800,0.11364726722240448,0.174662783741951,0.2474842071533203,0.929251492023468,147.1051788330078,"tensor(115153.2578, device='cuda:0')"
3900,0.10439905524253845,0.1766045093536377,0.22675471007823944,0.9545870423316956,233.73660278320312,"tensor(80725.8672, device='cuda:0')"
4000,0.11648328602313995,0.18249498307704926,0.24846486747264862,0.931883692741394,184.42506408691406,"tensor(168536.2812, device='cuda:0')"
4100,0.07158122956752777,0.13314902782440186,0.17786657810211182,0.9644920229911804,229.86109924316406,"tensor(60463.1484, device='cuda:0')"
4200,0.10011671483516693,0.1589086651802063,0.2290067970752716,0.9494743347167969,160.3936767578125,"tensor(91319.4453, device='cuda:0')"
4300,0.0907473936676979,0.1515917181968689,0.21276718378067017,0.9571579694747925,88.77700805664062,"tensor(104927.9688, device='cuda:0')"
4400,0.11311627179384232,0.1831696331501007,0.24117499589920044,0.9420484900474548,348.1011657714844,"tensor(126140.8594, device='cuda:0')"
4500,0.12656642496585846,0.18893244862556458,0.2643609046936035,0.9414267539978027,151.7788543701172,"tensor(95763.7969, device='cuda:0')"
4600,0.07258172333240509,0.13647910952568054,0.1778707206249237,0.9598628282546997,175.74041748046875,"tensor(44092.1289, device='cuda:0')"
4700,0.12466689944267273,0.20317377150058746,0.25241783261299133,0.9481375217437744,186.7945098876953,"tensor(142671.5625, device='cuda:0')"
4800,0.08931079506874084,0.15902407467365265,0.2039695382118225,0.964963972568512,104.3054428100586,"tensor(70891.0156, device='cuda:0')"
4900,0.09066693484783173,0.15661895275115967,0.2090006023645401,0.9552115797996521,92.22989654541016,"tensor(67615.9219, device='cuda:0')"
