Step,Loss,MAE,RMSE,R2,95th_Pct_Error,GradNorm
100,1.4097518920898438,0.8972245454788208,1.067981481552124,0.0720604658126831,313.4106750488281,"tensor(155039.9062, device='cuda:0')"
200,1.0132304430007935,0.7497162818908691,0.8878713846206665,0.058400750160217285,234.56900024414062,"tensor(127122.5000, device='cuda:0')"
300,1.2338625192642212,0.8376171588897705,0.9912503957748413,0.11945915222167969,206.1455535888672,"tensor(118514.4062, device='cuda:0')"
400,1.2549340724945068,0.8527624607086182,0.9995525479316711,0.18807601928710938,268.9242248535156,"tensor(107382.5000, device='cuda:0')"
500,1.0527411699295044,0.7461583614349365,0.9104359149932861,0.15883439779281616,195.68814086914062,"tensor(107331.6641, device='cuda:0')"
600,1.141954779624939,0.8172641396522522,0.9469823241233826,0.18053048849105835,128.4898223876953,"tensor(117015.4453, device='cuda:0')"
700,1.156049132347107,0.7921794652938843,0.958329439163208,0.23093146085739136,114.43919372558594,"tensor(106526.0312, device='cuda:0')"
800,1.086320161819458,0.7731959223747253,0.9243167042732239,0.2677870988845825,136.53994750976562,"tensor(98481.2266, device='cuda:0')"
900,0.9141007661819458,0.7019671201705933,0.8387554287910461,0.32834577560424805,137.56044006347656,"tensor(85343.9062, device='cuda:0')"
1000,0.6110827922821045,0.5693415403366089,0.6635362505912781,0.3748980760574341,199.1668243408203,"tensor(92366.7891, device='cuda:0')"
1100,0.9259570240974426,0.7366802096366882,0.839614748954773,0.4103529453277588,98.36237335205078,"tensor(95347.3047, device='cuda:0')"
1200,0.7737743258476257,0.6206291317939758,0.7665413022041321,0.4626043438911438,136.48265075683594,"tensor(84382.0625, device='cuda:0')"
1300,0.5315958261489868,0.5112311840057373,0.6150011420249939,0.5743770599365234,132.56666564941406,"tensor(74921.6172, device='cuda:0')"
1400,0.4504358470439911,0.46375423669815063,0.5579512119293213,0.6229944229125977,136.1147918701172,"tensor(71517.3906, device='cuda:0')"
