Step,Loss,MAE,RMSE,R2,95th_Pct_Error,GradNorm
100,0.995524525642395,0.7370662689208984,0.8800026178359985,0.054729998111724854,173.25424194335938,"tensor(105099.3516, device='cuda:0')"
200,1.2733346223831177,0.8150215744972229,1.014311671257019,0.036719560623168945,343.78515625,"tensor(158794.3438, device='cuda:0')"
300,1.013609528541565,0.731194019317627,0.891207754611969,0.09215474128723145,179.4626922607422,"tensor(115084.0469, device='cuda:0')"
400,0.9986572265625,0.7433971166610718,0.8807032108306885,0.10162252187728882,168.4439697265625,"tensor(109518.2891, device='cuda:0')"
500,0.7891207337379456,0.6226578950881958,0.776094913482666,0.15422344207763672,122.10279083251953,"tensor(61948.8906, device='cuda:0')"
600,1.2194361686706543,0.8402149081230164,0.9835505485534668,0.1891457438468933,116.57514190673828,"tensor(101182.7422, device='cuda:0')"
700,0.9215440154075623,0.7100673913955688,0.8417385816574097,0.21627920866012573,108.67829895019531,"tensor(79448.2734, device='cuda:0')"
800,0.730297327041626,0.6023663878440857,0.7413415908813477,0.26523154973983765,107.56190490722656,"tensor(67901.4219, device='cuda:0')"
900,0.9107922911643982,0.7058948278427124,0.8360764384269714,0.3325299620628357,118.68482208251953,"tensor(98773.5156, device='cuda:0')"
1000,0.8108518123626709,0.6217935681343079,0.7901352643966675,0.34803318977355957,121.04973602294922,"tensor(84880.6172, device='cuda:0')"
1100,0.8415552377700806,0.6902605891227722,0.7965406775474548,0.41875237226486206,114.46784210205078,"tensor(95799.6328, device='cuda:0')"
1200,0.8720319867134094,0.6805537343025208,0.8172305822372437,0.4563615918159485,144.20510864257812,"tensor(103591.8125, device='cuda:0')"
1300,0.6748210787773132,0.5923146605491638,0.7050721049308777,0.5561127662658691,116.78911590576172,"tensor(97369.7578, device='cuda:0')"
1400,0.5187578201293945,0.5039528012275696,0.6062771081924438,0.5914701223373413,135.6695098876953,"tensor(106802.3906, device='cuda:0')"
1500,0.5611652135848999,0.5174651741981506,0.6371229290962219,0.6826951503753662,155.35397338867188,"tensor(103793.9062, device='cuda:0')"
1600,0.30739960074424744,0.3412472903728485,0.4527973234653473,0.7892745733261108,132.21949768066406,"tensor(101854.2422, device='cuda:0')"
1700,0.28034335374832153,0.3190577030181885,0.42968133091926575,0.8110615611076355,211.94178771972656,"tensor(54166.2656, device='cuda:0')"
1800,0.16925543546676636,0.23248939216136932,0.3154498338699341,0.8884230852127075,150.15841674804688,"tensor(34568.4023, device='cuda:0')"
1900,0.1388799548149109,0.21753063797950745,0.27133142948150635,0.9335119128227234,366.8629150390625,"tensor(29665.0098, device='cuda:0')"
2000,0.1357974410057068,0.21247217059135437,0.268432080745697,0.9391746520996094,184.754638671875,"tensor(29701.7051, device='cuda:0')"
2100,0.13985660672187805,0.19733826816082,0.2839984595775604,0.9276919364929199,223.30430603027344,"tensor(35858.9023, device='cuda:0')"
2200,0.148659348487854,0.20926451683044434,0.2930528521537781,0.9169019460678101,742.1763916015625,"tensor(47250.7109, device='cuda:0')"
2300,0.12061692029237747,0.1897333264350891,0.2523824870586395,0.943394660949707,107.43769073486328,"tensor(49478.7305, device='cuda:0')"
2400,0.13361139595508575,0.2068234235048294,0.2675151526927948,0.9449397921562195,171.00411987304688,"tensor(19537.1836, device='cuda:0')"
2500,0.09489834308624268,0.16558662056922913,0.21265548467636108,0.955131471157074,93.85679626464844,"tensor(25750.7793, device='cuda:0')"
2600,0.10460682213306427,0.1656753122806549,0.23431649804115295,0.9346076846122742,164.1548309326172,"tensor(27857.3652, device='cuda:0')"
2700,0.10270403325557709,0.160346120595932,0.23366683721542358,0.9487501978874207,117.89224243164062,"tensor(80842.5391, device='cuda:0')"
2800,0.08998756855726242,0.15197917819023132,0.21069839596748352,0.9527614712715149,526.2538452148438,"tensor(27800.9043, device='cuda:0')"
2900,0.10634603351354599,0.17240694165229797,0.2337176650762558,0.9424431324005127,145.12110900878906,"tensor(45187.5078, device='cuda:0')"
3000,0.10573583841323853,0.1615980863571167,0.23928311467170715,0.9313914179801941,220.24081420898438,"tensor(51476.8516, device='cuda:0')"
3100,0.09058407694101334,0.1497195065021515,0.2137012481689453,0.9425889849662781,326.5919189453125,"tensor(47556.3398, device='cuda:0')"
3200,0.0862240344285965,0.13667172193527222,0.21265587210655212,0.9534116983413696,302.1912536621094,"tensor(30800.6836, device='cuda:0')"
3300,0.09570614248514175,0.15362747013568878,0.22275076806545258,0.9570631384849548,165.98171997070312,"tensor(50084.7109, device='cuda:0')"
3400,0.08285561203956604,0.15054714679718018,0.1941429078578949,0.9699557423591614,119.31584167480469,"tensor(28548.1875, device='cuda:0')"
3500,0.08123193681240082,0.14165544509887695,0.19681285321712494,0.9647209644317627,104.48843383789062,"tensor(193744.4688, device='cuda:0')"
3600,0.10898388922214508,0.17422889173030853,0.23814956843852997,0.9458127617835999,283.3597412109375,"tensor(95215.2812, device='cuda:0')"
3700,0.0945437029004097,0.14706961810588837,0.224550262093544,0.9489078521728516,257.4827575683594,"tensor(103532.6641, device='cuda:0')"
3800,0.07779847830533981,0.13721656799316406,0.19139881432056427,0.9654309153556824,249.1396026611328,"tensor(77710.0156, device='cuda:0')"
3900,0.0558028407394886,0.10693079233169556,0.15402467548847198,0.9755189418792725,116.45024108886719,"tensor(114383.5000, device='cuda:0')"
4000,0.07371190935373306,0.12294727563858032,0.19190551340579987,0.963881254196167,206.5858154296875,"tensor(130030.4688, device='cuda:0')"
4100,0.06372781097888947,0.1171371191740036,0.16907593607902527,0.9747947454452515,45.60239791870117,"tensor(63783.0352, device='cuda:0')"
4200,0.09136823564767838,0.14993299543857574,0.2153795212507248,0.9582340121269226,141.70445251464844,"tensor(44560.0273, device='cuda:0')"
4300,0.09050172567367554,0.1521856188774109,0.21176882088184357,0.9530004262924194,106.61607360839844,"tensor(40554.7305, device='cuda:0')"
4400,0.11575651168823242,0.17954853177070618,0.24878093600273132,0.9175328612327576,169.6175537109375,"tensor(58939.8711, device='cuda:0')"
4500,0.08965011686086655,0.15251442790031433,0.20951321721076965,0.9582907557487488,108.59922790527344,"tensor(149020.4062, device='cuda:0')"
4600,0.05495215207338333,0.1056499183177948,0.15250302851200104,0.9664286375045776,160.2377166748047,"tensor(121488.1328, device='cuda:0')"
4700,0.06797792762517929,0.1292157769203186,0.17091867327690125,0.9715398550033569,61.40613555908203,"tensor(189245.5000, device='cuda:0')"
4800,0.07345178723335266,0.13878940045833588,0.1783675104379654,0.9668620228767395,107.75413513183594,"tensor(168586.9219, device='cuda:0')"
4900,0.05648940056562424,0.0943881943821907,0.16784796118736267,0.9682181477546692,115.57378387451172,"tensor(39146.2227, device='cuda:0')"
5000,0.08518818765878677,0.15038849413394928,0.20017901062965393,0.9658365845680237,137.45799255371094,"tensor(83015.8125, device='cuda:0')"
5100,0.098844975233078,0.15064111351966858,0.2316303849220276,0.945335865020752,97.7024154663086,"tensor(52186.1680, device='cuda:0')"
5200,0.06132376194000244,0.12448272854089737,0.15485134720802307,0.9721615314483643,146.47943115234375,"tensor(98449.3594, device='cuda:0')"
5300,0.06414638459682465,0.11715847253799438,0.17029045522212982,0.9744243025779724,453.2337951660156,"tensor(39966.6562, device='cuda:0')"
5400,0.07088491320610046,0.1335691213607788,0.17553967237472534,0.9750654697418213,50.690773010253906,"tensor(77403.7578, device='cuda:0')"
5500,0.09543800354003906,0.1610579490661621,0.21707282960414886,0.9548863768577576,108.63494873046875,"tensor(52253.3555, device='cuda:0')"
5600,0.08019685745239258,0.11925625801086426,0.21076048910617828,0.9657776951789856,285.8972473144531,"tensor(78984.9453, device='cuda:0')"
5700,0.06875781714916229,0.12647268176078796,0.17554490268230438,0.9692829847335815,183.51327514648438,"tensor(64765.3672, device='cuda:0')"
5800,0.08476074039936066,0.14015191793441772,0.20667646825313568,0.9595630764961243,148.41786193847656,"tensor(32593.0312, device='cuda:0')"
5900,0.0687895268201828,0.10862012207508087,0.19027215242385864,0.9611690640449524,185.5757293701172,"tensor(96850.5391, device='cuda:0')"
6000,0.07310314476490021,0.12850353121757507,0.18588189780712128,0.9646824598312378,109.56318664550781,"tensor(37031.7539, device='cuda:0')"
6100,0.05955355986952782,0.10675548017024994,0.16591237485408783,0.9686352014541626,107.35292053222656,"tensor(59360.3477, device='cuda:0')"
