Step,Loss,MAE,RMSE,R2,95th_Pct_Error,GradNorm
100,1.472416877746582,0.9293588399887085,1.0925242900848389,-0.04721331596374512,217.7782440185547,"tensor(155491.7031, device='cuda:0')"
200,1.317960500717163,0.8693023920059204,1.02818763256073,0.011635124683380127,133.82814025878906,"tensor(93462.3672, device='cuda:0')"
300,1.3074077367782593,0.8885657787322998,1.0202146768569946,-0.009137392044067383,149.71441650390625,"tensor(172711.8281, device='cuda:0')"
400,0.8648510575294495,0.69002366065979,0.8110758066177368,0.06967759132385254,114.0794906616211,"tensor(81748.5391, device='cuda:0')"
500,1.3449734449386597,0.8721445798873901,1.040831446647644,0.03332924842834473,108.44689178466797,"tensor(182091.2656, device='cuda:0')"
600,1.2739970684051514,0.9113637804985046,1.0002939701080322,0.14494192600250244,97.00824737548828,"tensor(151758.5469, device='cuda:0')"
700,0.9714254140853882,0.7014923095703125,0.8723403811454773,0.15196073055267334,120.14248657226562,"tensor(135990.0156, device='cuda:0')"
800,0.9647066593170166,0.7453198432922363,0.8608778715133667,0.32398444414138794,182.4812774658203,"tensor(108218.3516, device='cuda:0')"
900,0.7784171104431152,0.6490885019302368,0.763996422290802,0.4180237054824829,112.94305419921875,"tensor(99164.7188, device='cuda:0')"
1000,0.6678175330162048,0.5958750247955322,0.6993246674537659,0.5770269632339478,126.89553833007812,"tensor(118487.2891, device='cuda:0')"
1100,0.29865479469299316,0.36251938343048096,0.4357739984989166,0.7962475419044495,124.53962707519531,"tensor(88787.2344, device='cuda:0')"
1200,0.20815163850784302,0.2745848596096039,0.3546493947505951,0.8272506594657898,542.1025390625,"tensor(102279.7266, device='cuda:0')"
1300,0.1861722618341446,0.2611332833766937,0.32837826013565063,0.8814558982849121,281.7469482421875,"tensor(37930.1758, device='cuda:0')"
1400,0.1801614761352539,0.24042998254299164,0.32868295907974243,0.9080803990364075,299.0546569824219,"tensor(30602.0430, device='cuda:0')"
1500,0.15055590867996216,0.21802406013011932,0.29180246591567993,0.9081583023071289,232.1500244140625,"tensor(18805.6172, device='cuda:0')"
1600,0.13323813676834106,0.19176095724105835,0.2751542329788208,0.9151217341423035,155.33892822265625,"tensor(21416.2031, device='cuda:0')"
1700,0.1075596958398819,0.17334312200546265,0.23570479452610016,0.9404404759407043,249.06700134277344,"tensor(51909.7305, device='cuda:0')"
1800,0.08749428391456604,0.1492505967617035,0.20668600499629974,0.9655920267105103,60.20518112182617,"tensor(21980.0684, device='cuda:0')"
1900,0.096207395195961,0.1614968478679657,0.21853682398796082,0.9505633115768433,343.388427734375,"tensor(23103.1582, device='cuda:0')"
2000,0.0959382876753807,0.14814898371696472,0.22692199051380157,0.9571730494499207,183.89866638183594,"tensor(29397.2910, device='cuda:0')"
2100,0.08362676203250885,0.14125975966453552,0.2030980885028839,0.9555197954177856,311.5263366699219,"tensor(170020.6406, device='cuda:0')"
2200,0.10149863362312317,0.1503271460533142,0.23748786747455597,0.9495027661323547,251.0571746826172,"tensor(177019.2812, device='cuda:0')"
2300,0.0743841826915741,0.13567408919334412,0.1835264265537262,0.9725503921508789,158.57542419433594,"tensor(91332.9062, device='cuda:0')"
2400,0.12069329619407654,0.19124428927898407,0.2516346573829651,0.9461502432823181,191.1806182861328,"tensor(158867.2344, device='cuda:0')"
2500,0.14741301536560059,0.22159318625926971,0.2844908833503723,0.9356199502944946,130.10804748535156,"tensor(258666.9062, device='cuda:0')"
2600,0.10432490706443787,0.16339413821697235,0.23517367243766785,0.9444404244422913,212.84841918945312,"tensor(94079.8125, device='cuda:0')"
2700,0.08805261552333832,0.1415993869304657,0.21347784996032715,0.9543402194976807,273.5558166503906,"tensor(117256.7188, device='cuda:0')"
2800,0.10586684942245483,0.1746751368045807,0.23122349381446838,0.9486156702041626,337.62115478515625,"tensor(186489.0625, device='cuda:0')"
2900,0.07973818480968475,0.13832254707813263,0.19555415213108063,0.964087188243866,286.8714904785156,"tensor(49530.9961, device='cuda:0')"
3000,0.0960351824760437,0.16697248816490173,0.21434420347213745,0.9573564529418945,262.865966796875,"tensor(277384.3438, device='cuda:0')"
3100,0.08719177544116974,0.1564079374074936,0.20067235827445984,0.973257839679718,122.71624755859375,"tensor(144263.3750, device='cuda:0')"
