Step,Phase,Loss,MAE_norm,MAE_Watts,RMSE,R2,P95_Error_pct,MAPE,MaxErr,lambda3,lambda4
100,TRAIN,0.638004720211029,0.18569974601268768,0.6373125314712524,0.23775789141654968,0.4178069233894348,55.27691650390625,25.653821229934692,2.0317342281341553,1.0,0.2
125,VALID,0.02557164104655385,0.12390804290771484,0.39473438262939453,0.1633288711309433,0.684066116809845,51.2718505859375,18.99964064359665,2.377854347229004,1.0,0.2
200,TRAIN,0.3872684836387634,0.0987594723701477,0.3014795780181885,0.13972792029380798,0.8111330270767212,35.66468811035156,14.691221714019775,1.3811793327331543,1.0,0.2
250,VALID,0.014155706769088283,0.07721849530935287,0.2381315380334854,0.11424331367015839,0.8454276323318481,41.68480682373047,11.638081818819046,1.407905101776123,1.0,0.2
300,TRAIN,0.2503364086151123,0.06890390813350677,0.23046979308128357,0.10395229607820511,0.8653304576873779,34.0528678894043,9.942138195037842,0.9898843765258789,1.0,0.2
375,VALID,0.012037570442771539,0.07092376053333282,0.2251276969909668,0.10008297860622406,0.881371021270752,36.653831481933594,10.687680542469025,1.173147439956665,1.0,0.2
400,TRAIN,0.14736604690551758,0.07609666883945465,0.22973482310771942,0.10207407921552658,0.8796119689941406,32.92778396606445,12.30127066373825,0.7227824926376343,1.0,0.2
500,TRAIN,0.06537570059299469,0.05630389228463173,0.1974409520626068,0.07815194875001907,0.9314255714416504,18.506317138671875,8.0089271068573,0.8354160785675049,1.0,0.2
500,VALID,0.010687552188755944,0.06690780073404312,0.21263287961483002,0.09002634137868881,0.9040136337280273,30.384613037109375,10.286888480186462,1.077592372894287,1.0,0.2
600,TRAIN,0.008410632610321045,0.07570729404687881,0.26221364736557007,0.09887057542800903,0.892549455165863,33.9747200012207,10.60665100812912,0.8861093521118164,1.0,0.2
625,VALID,0.010171449015615508,0.06433119624853134,0.2085154801607132,0.0870702937245369,0.9102136492729187,30.366464614868164,9.569072723388672,1.0851283073425293,1.0,0.2
700,TRAIN,-0.0443732887506485,0.07224364578723907,0.2154906988143921,0.09911270439624786,0.8732016682624817,33.34096145629883,11.091963201761246,0.897627592086792,1.0,0.2
750,VALID,0.009733175160363317,0.06246696040034294,0.20168133080005646,0.0841217190027237,0.916191816329956,28.416370391845703,9.342072159051895,1.0598301887512207,1.0,0.2
800,TRAIN,-0.07852637767791748,0.07924370467662811,0.2892776131629944,0.10200884938240051,0.8771644234657288,26.123762130737305,10.429821163415909,0.7991704940795898,1.0,0.2
875,VALID,0.009403127900441177,0.06138051301240921,0.1981063187122345,0.08148985356092453,0.9213538765907288,27.17289924621582,9.217645972967148,1.0240592956542969,1.0,0.2
900,TRAIN,-0.12420560419559479,0.06773991882801056,0.22076416015625,0.08877366036176682,0.91010582447052,28.1226863861084,10.116477310657501,0.7952871322631836,1.0,0.2
1000,TRAIN,-0.1568760871887207,0.06385119259357452,0.21992403268814087,0.08753781765699387,0.9175800681114197,21.15416145324707,9.12826731801033,1.0137958526611328,1.0,0.2
1000,VALID,0.009107274847337976,0.059790316969156265,0.19199344515800476,0.07980247586965561,0.9245771169662476,25.83635711669922,8.988763391971588,1.0211408138275146,1.0,0.2
1100,TRAIN,-0.1916366070508957,0.060418903827667236,0.1895436942577362,0.07901851087808609,0.9135360717773438,19.048736572265625,9.124978631734848,0.8277914524078369,1.0,0.2
1125,VALID,0.008974103853688575,0.05939751863479614,0.18999648094177246,0.07864812761545181,0.9267433285713196,25.915685653686523,9.002232551574707,0.9975097179412842,1.0,0.2
1200,TRAIN,-0.19921162724494934,0.07216869294643402,0.2354162037372589,0.09484658390283585,0.911179780960083,28.831186294555664,10.618644207715988,0.837407112121582,1.0,0.2
1250,VALID,0.008876409076037817,0.0586131326854229,0.18903638422489166,0.07843843102455139,0.9271334409713745,24.554645538330078,8.725997060537338,0.9961936473846436,1.0,0.2
1300,TRAIN,-0.21710553765296936,0.07696275413036346,0.23548081517219543,0.09821682423353195,0.8770771026611328,30.257535934448242,11.839720606803894,0.7019681930541992,1.0,0.2
