2026-05-16 17:38:05,710 - Successfully loaded pretrained weights from: /home/deltax/research/May_bien_ap/try_4/Experiment_2/checkpoints_exp2_pretrain/BiGRU_6L/best.pth
2026-05-16 17:38:14,785 - BEST MODEL UPDATED - MAE_norm: 0.1239 | λ₃=1.0, λ₄=0.2
2026-05-16 17:38:23,571 - BEST MODEL UPDATED - MAE_norm: 0.0772 | λ₃=1.0, λ₄=0.2
2026-05-16 17:38:32,460 - BEST MODEL UPDATED - MAE_norm: 0.0709 | λ₃=1.0, λ₄=0.2
2026-05-16 17:38:41,260 - BEST MODEL UPDATED - MAE_norm: 0.0669 | λ₃=1.0, λ₄=0.2
2026-05-16 17:38:50,169 - BEST MODEL UPDATED - MAE_norm: 0.0643 | λ₃=1.0, λ₄=0.2
2026-05-16 17:38:59,092 - BEST MODEL UPDATED - MAE_norm: 0.0625 | λ₃=1.0, λ₄=0.2
2026-05-16 17:39:08,153 - BEST MODEL UPDATED - MAE_norm: 0.0614 | λ₃=1.0, λ₄=0.2
2026-05-16 17:39:17,157 - BEST MODEL UPDATED - MAE_norm: 0.0598 | λ₃=1.0, λ₄=0.2
2026-05-16 17:39:26,140 - BEST MODEL UPDATED - MAE_norm: 0.0594 | λ₃=1.0, λ₄=0.2
2026-05-16 17:39:35,156 - BEST MODEL UPDATED - MAE_norm: 0.0586 | λ₃=1.0, λ₄=0.2
2026-05-16 17:40:10,837 - BEST MODEL UPDATED - MAE_norm: 0.0576 | λ₃=1.0, λ₄=0.2
2026-05-16 17:40:28,592 - BEST MODEL UPDATED - MAE_norm: 0.0553 | λ₃=1.0, λ₄=0.2
2026-05-16 17:40:54,858 - BEST MODEL UPDATED - MAE_norm: 0.0531 | λ₃=1.0, λ₄=0.2
2026-05-16 17:41:12,471 - BEST MODEL UPDATED - MAE_norm: 0.0508 | λ₃=1.0, λ₄=0.2
2026-05-16 17:41:30,292 - BEST MODEL UPDATED - MAE_norm: 0.0486 | λ₃=1.0, λ₄=0.2
2026-05-16 17:41:56,696 - BEST MODEL UPDATED - MAE_norm: 0.0472 | λ₃=1.0, λ₄=0.2
2026-05-16 17:42:05,627 - BEST MODEL UPDATED - MAE_norm: 0.0467 | λ₃=1.0, λ₄=0.2
2026-05-16 17:42:22,940 - BEST MODEL UPDATED - MAE_norm: 0.0463 | λ₃=1.0, λ₄=0.2
2026-05-16 17:42:49,135 - BEST MODEL UPDATED - MAE_norm: 0.0463 | λ₃=1.0, λ₄=0.2
2026-05-16 17:42:57,931 - BEST MODEL UPDATED - MAE_norm: 0.0461 | λ₃=1.0, λ₄=0.2
2026-05-16 17:43:15,719 - BEST MODEL UPDATED - MAE_norm: 0.0459 | λ₃=1.0, λ₄=0.2
2026-05-16 17:44:35,263 - BEST MODEL UPDATED - MAE_norm: 0.0458 | λ₃=1.0, λ₄=0.2
2026-05-16 17:45:27,787 - Finished BiGRU6L_l3_1.0_l4_0.2 - Best MAE_norm: 0.0458
