2026-05-16 16:21:38,085 - Successfully loaded pretrained weights from: /home/deltax/research/May_bien_ap/try_4/Experiment_2/checkpoints_exp2_pretrain/BiGRU_6L/best.pth
2026-05-16 16:21:46,840 - BEST MODEL UPDATED - MAE_norm: 0.1237 | λ₃=0.1, λ₄=0.1
2026-05-16 16:21:55,397 - BEST MODEL UPDATED - MAE_norm: 0.0743 | λ₃=0.1, λ₄=0.1
2026-05-16 16:22:04,114 - BEST MODEL UPDATED - MAE_norm: 0.0680 | λ₃=0.1, λ₄=0.1
2026-05-16 16:22:13,013 - BEST MODEL UPDATED - MAE_norm: 0.0657 | λ₃=0.1, λ₄=0.1
2026-05-16 16:22:21,894 - BEST MODEL UPDATED - MAE_norm: 0.0655 | λ₃=0.1, λ₄=0.1
2026-05-16 16:22:30,786 - BEST MODEL UPDATED - MAE_norm: 0.0623 | λ₃=0.1, λ₄=0.1
2026-05-16 16:22:48,271 - BEST MODEL UPDATED - MAE_norm: 0.0621 | λ₃=0.1, λ₄=0.1
2026-05-16 16:22:56,952 - BEST MODEL UPDATED - MAE_norm: 0.0610 | λ₃=0.1, λ₄=0.1
2026-05-16 16:23:05,490 - BEST MODEL UPDATED - MAE_norm: 0.0595 | λ₃=0.1, λ₄=0.1
2026-05-16 16:23:22,686 - BEST MODEL UPDATED - MAE_norm: 0.0586 | λ₃=0.1, λ₄=0.1
2026-05-16 16:23:40,261 - BEST MODEL UPDATED - MAE_norm: 0.0565 | λ₃=0.1, λ₄=0.1
2026-05-16 16:24:06,580 - BEST MODEL UPDATED - MAE_norm: 0.0556 | λ₃=0.1, λ₄=0.1
2026-05-16 16:24:15,418 - BEST MODEL UPDATED - MAE_norm: 0.0549 | λ₃=0.1, λ₄=0.1
2026-05-16 16:24:32,839 - BEST MODEL UPDATED - MAE_norm: 0.0540 | λ₃=0.1, λ₄=0.1
2026-05-16 16:24:41,611 - BEST MODEL UPDATED - MAE_norm: 0.0540 | λ₃=0.1, λ₄=0.1
2026-05-16 16:25:15,860 - BEST MODEL UPDATED - MAE_norm: 0.0516 | λ₃=0.1, λ₄=0.1
2026-05-16 16:25:24,843 - BEST MODEL UPDATED - MAE_norm: 0.0504 | λ₃=0.1, λ₄=0.1
2026-05-16 16:25:42,395 - BEST MODEL UPDATED - MAE_norm: 0.0495 | λ₃=0.1, λ₄=0.1
2026-05-16 16:25:51,200 - BEST MODEL UPDATED - MAE_norm: 0.0488 | λ₃=0.1, λ₄=0.1
2026-05-16 16:26:17,373 - BEST MODEL UPDATED - MAE_norm: 0.0486 | λ₃=0.1, λ₄=0.1
2026-05-16 16:26:26,253 - BEST MODEL UPDATED - MAE_norm: 0.0477 | λ₃=0.1, λ₄=0.1
2026-05-16 16:26:52,765 - BEST MODEL UPDATED - MAE_norm: 0.0470 | λ₃=0.1, λ₄=0.1
2026-05-16 16:27:35,250 - BEST MODEL UPDATED - MAE_norm: 0.0460 | λ₃=0.1, λ₄=0.1
2026-05-16 16:27:43,767 - BEST MODEL UPDATED - MAE_norm: 0.0455 | λ₃=0.1, λ₄=0.1
2026-05-16 16:28:26,511 - BEST MODEL UPDATED - MAE_norm: 0.0453 | λ₃=0.1, λ₄=0.1
2026-05-16 16:28:52,348 - BEST MODEL UPDATED - MAE_norm: 0.0452 | λ₃=0.1, λ₄=0.1
2026-05-16 16:28:52,348 - Finished BiGRU6L_l3_0.1_l4_0.1 - Best MAE_norm: 0.0452
