Step,Phase,Loss,MAE_norm,MAE_Watts,RMSE,R2,P95_Error_pct,MAPE,MaxErr,lambda3,lambda4
100,TRAIN,0.1140325739979744,0.17645081877708435,0.5986161231994629,0.22086592018604279,0.35489559173583984,55.532875061035156,26.549726724624634,2.6065711975097656,0.1,0.1
125,VALID,0.025639438710641116,0.12371579557657242,0.41790327429771423,0.1636829376220703,0.6826949119567871,52.609947204589844,19.253000617027283,2.3100738525390625,0.1,0.1
200,TRAIN,0.06117776036262512,0.07955915480852127,0.25486212968826294,0.11503675580024719,0.8720265030860901,39.31399154663086,13.125470280647278,1.3228720426559448,0.1,0.1
250,VALID,0.012844554439652711,0.07427133619785309,0.23532284796237946,0.10475967079401016,0.8700253963470459,35.71840286254883,11.410510540008545,1.319101095199585,0.1,0.1
300,TRAIN,0.03715362772345543,0.08052191138267517,0.23459242284297943,0.11834542453289032,0.83430016040802,37.97020721435547,11.754493415355682,1.3346998691558838,0.1,0.1
375,VALID,0.01138923002872616,0.06799713522195816,0.21575678884983063,0.09627066552639008,0.8902364373207092,33.37458419799805,10.311120748519897,1.180092692375183,0.1,0.1
400,TRAIN,0.01030491292476654,0.05980074033141136,0.18698954582214355,0.07931587845087051,0.9246709942817688,30.03684425354004,9.857836365699768,0.7382869720458984,0.1,0.1
500,TRAIN,-0.008488938212394714,0.05896056443452835,0.18919944763183594,0.07886753231287003,0.929183840751648,26.27256202697754,9.123843908309937,0.9732480049133301,0.1,0.1
500,VALID,0.010707651934353635,0.0656852126121521,0.20856022834777832,0.09166232496500015,0.9004933834075928,31.339265823364258,10.003041476011276,1.0602009296417236,0.1,0.1
600,TRAIN,-0.028390906751155853,0.055699821561574936,0.17807143926620483,0.07420650869607925,0.9378399848937988,26.49484634399414,8.837325870990753,0.5407097339630127,0.1,0.1
625,VALID,0.010492746398085728,0.06552725285291672,0.20886792242527008,0.08941592276096344,0.905310869216919,30.289819717407227,10.094747692346573,1.0129083395004272,0.1,0.1
700,TRAIN,-0.04346916079521179,0.07250340282917023,0.21649429202079773,0.09858914464712143,0.8982260227203369,33.16257095336914,11.904492974281311,0.7464828491210938,0.1,0.1
750,VALID,0.01006232744839508,0.06231964752078056,0.1972053050994873,0.0880383849143982,0.9082059860229492,31.39386749267578,9.253259748220444,1.0246429443359375,0.1,0.1
800,TRAIN,-0.06097574532032013,0.06697656214237213,0.21969667077064514,0.09710608422756195,0.8941941857337952,32.52865982055664,9.839677810668945,0.888970136642456,0.1,0.1
875,VALID,0.009860649224719964,0.06258624792098999,0.1993333250284195,0.08549772948026657,0.9134275913238525,29.024036407470703,9.50990617275238,1.0031352043151855,0.1,0.1
900,TRAIN,-0.08067446947097778,0.05622146278619766,0.17056497931480408,0.07656732946634293,0.9343662858009338,26.86188507080078,8.685396611690521,0.7968878746032715,0.1,0.1
1000,TRAIN,-0.09535571932792664,0.05700748413801193,0.18656080961227417,0.08244343847036362,0.9133481979370117,28.126930236816406,7.963076233863831,0.733543872833252,0.1,0.1
1000,VALID,0.009623717749491334,0.06208975985646248,0.1972702443599701,0.08336922526359558,0.9176844954490662,27.544267654418945,9.54083427786827,0.9744961261749268,0.1,0.1
1100,TRAIN,-0.10570846498012543,0.06283918023109436,0.2004648745059967,0.08700210601091385,0.9245884418487549,24.885272979736328,9.546944499015808,0.917611837387085,0.1,0.1
1125,VALID,0.009422023824299686,0.06102028116583824,0.194538414478302,0.08215263485908508,0.9200693368911743,27.9052734375,9.291840344667435,0.9726474285125732,0.1,0.1
1200,TRAIN,-0.12133953720331192,0.04957982525229454,0.15621128678321838,0.07605685293674469,0.9370212554931641,27.102569580078125,7.146309316158295,0.8023242950439453,0.1,0.1
1250,VALID,0.009104487107833847,0.05950963869690895,0.1886943131685257,0.08022083342075348,0.9237842559814453,26.728425979614258,9.049297869205475,0.9609736204147339,0.1,0.1
1300,TRAIN,-0.1333547979593277,0.05015944689512253,0.15939167141914368,0.06669430434703827,0.9548889398574829,20.85713005065918,7.878457009792328,0.8055028915405273,0.1,0.1
1375,VALID,0.009245990309864283,0.061156753450632095,0.19428715109825134,0.07991623133420944,0.9243619441986084,26.516176223754883,9.495455026626587,0.9338243007659912,0.1,0.1
1400,TRAIN,-0.13867178559303284,0.0608208104968071,0.197036013007164,0.07397529482841492,0.946286678314209,21.975255966186523,9.369703382253647,0.6085085868835449,0.1,0.1
1500,TRAIN,-0.147605299949646,0.05635055899620056,0.17326080799102783,0.07544954121112823,0.9373663663864136,21.677797317504883,8.927122503519058,0.6616230010986328,0.1,0.1
1500,VALID,0.008836716107907705,0.058593470603227615,0.1860775500535965,0.07804444432258606,0.927863597869873,25.783300399780273,8.937078714370728,0.9495301246643066,0.1,0.1
1600,TRAIN,-0.1527196317911148,0.05987782031297684,0.18658387660980225,0.07684656232595444,0.9338134527206421,25.302011489868164,9.344938397407532,0.6005897521972656,0.1,0.1
1625,VALID,0.008793512388365343,0.058828242123126984,0.18689613044261932,0.07715006917715073,0.9295074939727783,25.55431365966797,9.069913625717163,0.926868200302124,0.1,0.1
1700,TRAIN,-0.16138234734535217,0.05071652680635452,0.15905526280403137,0.07339181005954742,0.9292314052581787,24.971435546875,7.321444153785706,0.6897934675216675,0.1,0.1
1750,VALID,0.008553391540772282,0.05647742748260498,0.18095172941684723,0.07702574133872986,0.9297345280647278,25.59334373474121,8.39427039027214,0.984687089920044,0.1,0.1
1800,TRAIN,-0.15939515829086304,0.06138569489121437,0.1921887993812561,0.08182648569345474,0.9111583232879639,25.24508285522461,8.819390833377838,0.7275552749633789,0.1,0.1
1875,VALID,0.00857128546340391,0.05777302011847496,0.18526020646095276,0.07549192011356354,0.9325050711631775,24.547574996948242,8.845162391662598,0.9212228059768677,0.1,0.1
1900,TRAIN,-0.16449639201164246,0.05962565913796425,0.19668874144554138,0.080707848072052,0.910895824432373,24.308570861816406,8.716189116239548,0.6871196031570435,0.1,0.1
2000,TRAIN,-0.15517428517341614,0.06970269978046417,0.21027053892612457,0.09413348138332367,0.8928296566009521,33.95088577270508,10.674560815095901,0.8258335590362549,0.1,0.1
2000,VALID,0.008405492684687488,0.05675804615020752,0.1817236840724945,0.07466557621955872,0.93397456407547,24.700395584106445,8.65955725312233,0.9028265476226807,0.1,0.1
2100,TRAIN,-0.1632569432258606,0.07067252695560455,0.21756353974342346,0.08570102602243423,0.9300172924995422,30.77182960510254,11.978884786367416,0.6166286468505859,0.1,0.1
2125,VALID,0.00822400109609589,0.05555536970496178,0.17861197888851166,0.07381657510995865,0.935467541217804,24.37552833557129,8.394169807434082,0.9038931131362915,0.1,0.1
2200,TRAIN,-0.16169589757919312,0.07096168398857117,0.2103421539068222,0.08986865729093552,0.9122611880302429,28.035341262817383,11.6099514067173,0.583162784576416,0.1,0.1
2250,VALID,0.008137056793202646,0.05493064969778061,0.1768699586391449,0.07344411313533783,0.9361171722412109,24.456939697265625,8.238482475280762,0.9205337762832642,0.1,0.1
2300,TRAIN,-0.17822933197021484,0.05572453886270523,0.19319340586662292,0.07518388330936432,0.9386374354362488,23.749269485473633,8.099500834941864,0.7534952163696289,0.1,0.1
2375,VALID,0.008170826797140762,0.055951979011297226,0.1796819567680359,0.07258687168359756,0.9375997185707092,23.764860153198242,8.590369671583176,0.8896729946136475,0.1,0.1
2400,TRAIN,-0.18203990161418915,0.06102650612592697,0.18690425157546997,0.0738535076379776,0.9300507307052612,24.13175392150879,9.999993443489075,0.530524730682373,0.1,0.1
2500,TRAIN,-0.19017194211483002,0.055579736828804016,0.17551937699317932,0.06919405609369278,0.9444589614868164,22.29659652709961,8.804313838481903,0.6846632957458496,0.1,0.1
2500,VALID,0.007871533249272034,0.05403720214962959,0.17463155090808868,0.07104984670877457,0.9402143955230713,23.496875762939453,8.169450610876083,0.8962515592575073,0.1,0.1
2600,TRAIN,-0.17772534489631653,0.06274083256721497,0.2029460370540619,0.07976023107767105,0.9210729002952576,20.54257583618164,9.491263329982758,0.7492434978485107,0.1,0.1
2625,VALID,0.007813207746949047,0.05395283177495003,0.17487742006778717,0.0703074038028717,0.9414573311805725,22.726606369018555,8.227241784334183,0.858898401260376,0.1,0.1
2700,TRAIN,-0.18561959266662598,0.055803973227739334,0.17632660269737244,0.07498631626367569,0.9423497915267944,27.692853927612305,8.805534988641739,0.5592179298400879,0.1,0.1
2750,VALID,0.00810530546004884,0.05605253949761391,0.1826460212469101,0.07139213383197784,0.9396370053291321,22.99991798400879,8.65287333726883,0.8493950366973877,0.1,0.1
2800,TRAIN,-0.20548318326473236,0.04727134853601456,0.15497757494449615,0.05933212488889694,0.9558150768280029,19.896032333374023,7.308486104011536,0.6212997436523438,0.1,0.1
2875,VALID,0.00792122598795686,0.05492376163601875,0.17968612909317017,0.07033101469278336,0.9414180517196655,22.75513458251953,8.43547210097313,0.8537626266479492,0.1,0.1
2900,TRAIN,-0.1247817873954773,0.09282178431749344,0.27735400199890137,0.10699069499969482,0.8494951128959656,34.759239196777344,15.806743502616882,0.6015138626098633,0.1,0.1
3000,TRAIN,-0.10367666184902191,0.10373366624116898,0.3255985677242279,0.11375115066766739,0.851559579372406,35.461204528808594,17.546774446964264,0.8218510150909424,0.1,0.1
3000,VALID,0.009507769427727908,0.06449193507432938,0.21730682253837585,0.07858844101428986,0.9268544912338257,24.528881072998047,10.123921930789948,0.8592488765716553,0.1,0.1
3100,TRAIN,-0.1991780698299408,0.055553145706653595,0.1748117208480835,0.06615391373634338,0.9573994278907776,20.392183303833008,8.786359429359436,0.4776918888092041,0.1,0.1
3125,VALID,0.007356194953899831,0.05162416025996208,0.16808216273784637,0.06698910146951675,0.9468530416488647,21.539060592651367,7.923926413059235,0.806574821472168,0.1,0.1
3200,TRAIN,-0.20431984961032867,0.04790879786014557,0.15913864970207214,0.06431332975625992,0.9582594633102417,20.50788116455078,7.128109782934189,0.5451445579528809,0.1,0.1
3250,VALID,0.007176909377449192,0.050424832850694656,0.16447508335113525,0.06609755754470825,0.9482582807540894,21.48007583618164,7.654711604118347,0.8154033422470093,0.1,0.1
3300,TRAIN,-0.1996278166770935,0.050901759415864944,0.16209688782691956,0.06654749810695648,0.9489612579345703,19.3001766204834,7.940855622291565,0.6660590171813965,0.1,0.1
3375,VALID,0.007337104587350041,0.051058366894721985,0.16960890591144562,0.06756418943405151,0.9459366202354431,20.97637367248535,7.502236217260361,0.9868741035461426,0.1,0.1
3400,TRAIN,-0.17862415313720703,0.061830129474401474,0.21292385458946228,0.07934394478797913,0.9275857210159302,23.71624183654785,8.66028219461441,0.6091868877410889,0.1,0.1
3500,TRAIN,-0.20231063663959503,0.05010107904672623,0.14790847897529602,0.06723836064338684,0.95730060338974,24.62049102783203,8.46533551812172,0.5775352716445923,0.1,0.1
3500,VALID,0.006984293548157439,0.04951173812150955,0.1618790626525879,0.06459123641252518,0.9505897164344788,21.219865798950195,7.553119212388992,0.8178644180297852,0.1,0.1
3600,TRAIN,-0.19791977107524872,0.05108677223324776,0.16653470695018768,0.06899673491716385,0.9371064901351929,20.28205680847168,7.44822695851326,0.6687111854553223,0.1,0.1
3625,VALID,0.0069065417337697,0.04882093891501427,0.16041453182697296,0.06436513364315033,0.9509350061416626,20.744667053222656,7.314576953649521,0.8870177268981934,0.1,0.1
3700,TRAIN,-0.21587160229682922,0.04449911415576935,0.15299904346466064,0.05585438385605812,0.9711596369743347,18.541549682617188,6.718255579471588,0.5349555015563965,0.1,0.1
3750,VALID,0.006921218344359659,0.04910237342119217,0.16214396059513092,0.06405596435070038,0.9514052271842957,20.72647476196289,7.487443834543228,0.7339706420898438,0.1,0.1
3800,TRAIN,-0.20915596187114716,0.04619781672954559,0.14703354239463806,0.06320180743932724,0.9417394995689392,21.17315673828125,7.031406462192535,0.565727949142456,0.1,0.1
3875,VALID,0.006910409880219959,0.04911478981375694,0.1619187444448471,0.06391827762126923,0.9516139030456543,20.754730224609375,7.529202103614807,0.7375085353851318,0.1,0.1
3900,TRAIN,-0.21817931532859802,0.0421849861741066,0.15223228931427002,0.05561385676264763,0.9691826701164246,16.01793670654297,5.945096164941788,0.5880167484283447,0.1,0.1
4000,TRAIN,-0.1997469961643219,0.05134893208742142,0.15916068851947784,0.06857359409332275,0.9412190318107605,19.78385353088379,7.704135775566101,0.6915912628173828,0.1,0.1
4000,VALID,0.006859693632577546,0.0486006923019886,0.15933796763420105,0.06392320245504379,0.9516064524650574,20.35866928100586,7.23445788025856,0.7533326148986816,0.1,0.1
4100,TRAIN,-0.22921067476272583,0.0396757647395134,0.1340416967868805,0.049417346715927124,0.9716312289237976,14.982738494873047,6.125973165035248,0.43541431427001953,0.1,0.1
4125,VALID,0.006663068474153988,0.04774242639541626,0.15712931752204895,0.06214466318488121,0.9542618989944458,20.44902992248535,7.32460618019104,0.818878173828125,0.1,0.1
4200,TRAIN,-0.2025260478258133,0.04932864010334015,0.1596236526966095,0.06744155287742615,0.9574825167655945,23.281295776367188,7.543442398309708,0.7521171569824219,0.1,0.1
4250,VALID,0.007159648259403184,0.050790201872587204,0.17162099480628967,0.06501957029104233,0.9499322175979614,20.84233856201172,7.779283821582794,0.7916953563690186,0.1,0.1
4300,TRAIN,-0.21768446266651154,0.04501507058739662,0.1480090618133545,0.05698723345994949,0.9588460922241211,16.200298309326172,6.733750551939011,0.5769479274749756,0.1,0.1
4375,VALID,0.007219880644697696,0.05127359926700592,0.17054377496242523,0.06525079160928726,0.9495754837989807,22.16116714477539,7.984809577465057,0.7487812042236328,0.1,0.1
4400,TRAIN,-0.21761080622673035,0.04599921405315399,0.1406175196170807,0.059958674013614655,0.9569715261459351,25.333906173706055,7.753871381282806,0.42623627185821533,0.1,0.1
4500,TRAIN,-0.21663698554039001,0.04727401211857796,0.15483203530311584,0.059182822704315186,0.9551308155059814,19.900346755981445,7.366463541984558,0.5055208206176758,0.1,0.1
4500,VALID,0.006536659537232481,0.04697887971997261,0.15549694001674652,0.06127601116895676,0.9555315971374512,19.953893661499023,7.171302288770676,0.6743783950805664,0.1,0.1
4600,TRAIN,-0.2146761268377304,0.0478486493229866,0.15606853365898132,0.05971735715866089,0.9618578553199768,18.864177703857422,7.387516647577286,0.48928070068359375,0.1,0.1
4625,VALID,0.006538944275234826,0.0470581129193306,0.15458786487579346,0.06122587248682976,0.9556043744087219,20.627151489257812,7.262346148490906,0.7716197967529297,0.1,0.1
4700,TRAIN,-0.16807614266872406,0.06770753860473633,0.20554152131080627,0.08599173277616501,0.9283304810523987,30.2688045501709,11.098039895296097,0.5556864738464355,0.1,0.1
4750,VALID,0.00672870923881419,0.048215724527835846,0.1599462926387787,0.062367603182792664,0.9539331793785095,20.690813064575195,7.421841472387314,0.7198607921600342,0.1,0.1
4800,TRAIN,-0.20604604482650757,0.052239350974559784,0.16859182715415955,0.06539210677146912,0.9517654180526733,20.968631744384766,8.357391506433487,0.49804699420928955,0.1,0.1
4875,VALID,0.006765439175069332,0.04844800755381584,0.15911825001239777,0.06262852996587753,0.9535468816757202,21.42357063293457,7.584955543279648,0.6908972263336182,0.1,0.1
4900,TRAIN,-0.22275686264038086,0.04229758307337761,0.15061767399311066,0.05259527638554573,0.9720919728279114,13.792133331298828,6.191619113087654,0.5290570259094238,0.1,0.1
5000,TRAIN,-0.22317630052566528,0.04488100856542587,0.14606186747550964,0.05645991116762161,0.963865339756012,16.39517593383789,6.876895576715469,0.5310618877410889,0.1,0.1
5000,VALID,0.006585008770343848,0.04747568815946579,0.15775668621063232,0.06142951920628548,0.9553085565567017,19.556655883789062,7.15203583240509,0.8491926193237305,0.1,0.1
5100,TRAIN,-0.21957704424858093,0.047476932406425476,0.14911144971847534,0.05908764526247978,0.9626259207725525,19.35443878173828,7.592637836933136,0.4098076820373535,0.1,0.1
