Step,Phase,Loss,MAE_norm,MAE_Watts,RMSE,R2,P95_Error_pct,MAPE,MaxErr,lambda3,lambda4
100,TRAIN,0.24513334035873413,0.20946039259433746,0.7529953718185425,0.27326837182044983,0.27565640211105347,66.71968841552734,29.74722981452942,2.43204402923584,0.3,0.05
125,VALID,0.024631335865706205,0.12021958082914352,0.39732614159584045,0.15960827469825745,0.6982960104942322,52.23505401611328,18.683531880378723,2.3007397651672363,0.3,0.05
200,TRAIN,0.14501182734966278,0.07726103812456131,0.2436237782239914,0.10713591426610947,0.8689779043197632,31.847829818725586,12.0513916015625,1.3364874124526978,0.3,0.05
250,VALID,0.012560071423649788,0.07205009460449219,0.22510981559753418,0.10418173670768738,0.8714554905891418,37.08423614501953,10.99068820476532,1.2781357765197754,0.3,0.05
300,TRAIN,0.10389427840709686,0.05359590798616409,0.16587094962596893,0.0806863084435463,0.9253821969032288,24.546764373779297,8.272111415863037,1.0053520202636719,0.3,0.05
375,VALID,0.010957916209008545,0.06613777577877045,0.20870457589626312,0.09389615803956985,0.8955842852592468,33.54731750488281,10.004068166017532,1.0850560665130615,0.3,0.05
400,TRAIN,0.07869067043066025,0.06510058790445328,0.20376503467559814,0.09429726004600525,0.903536319732666,31.569103240966797,10.029766708612442,0.9239126443862915,0.3,0.05
500,TRAIN,0.0524773932993412,0.06598980724811554,0.19945138692855835,0.0874602347612381,0.9031857848167419,27.87898826599121,10.018278658390045,0.6363835334777832,0.3,0.05
500,VALID,0.010034435894340277,0.06253265589475632,0.1985112726688385,0.08765160292387009,0.9090107679367065,31.732988357543945,9.358049929141998,1.0670738220214844,0.3,0.05
600,TRAIN,0.03017909824848175,0.054785244166851044,0.17411741614341736,0.07357818633317947,0.9280163645744324,24.84839630126953,8.300430327653885,0.7925026416778564,0.3,0.05
625,VALID,0.009713966530398466,0.06293752044439316,0.1996062994003296,0.08352947980165482,0.917367696762085,27.461397171020508,9.720055758953094,1.0144659280776978,0.3,0.05
700,TRAIN,0.018156748265028,0.06767691671848297,0.24987265467643738,0.08620842546224594,0.9272008538246155,22.0826358795166,9.291458129882812,1.1190118789672852,0.3,0.05
750,VALID,0.009320970071712509,0.06102220341563225,0.19399036467075348,0.08103784173727036,0.9222239255905151,27.86228370666504,9.344033151865005,1.0081162452697754,0.3,0.05
800,TRAIN,0.0012895390391349792,0.06148270517587662,0.1972964107990265,0.08111140877008438,0.9095870852470398,28.813308715820312,9.53020304441452,0.5315924882888794,0.3,0.05
875,VALID,0.009165641269646585,0.059637635946273804,0.19221308827400208,0.08077919483184814,0.9227195978164673,26.5165958404541,8.831281214952469,1.0461927652359009,0.3,0.05
900,TRAIN,-0.01652679592370987,0.053396329283714294,0.17513024806976318,0.07000932097434998,0.9396854043006897,25.13934326171875,8.28784927725792,0.6754856109619141,0.3,0.05
1000,TRAIN,-0.02127953991293907,0.06643538177013397,0.2271328568458557,0.09333769977092743,0.9074333906173706,20.528345108032227,9.16089117527008,1.0497522354125977,0.3,0.05
1000,VALID,0.009791810109163634,0.06226509436964989,0.20519526302814484,0.085173100233078,0.9140837788581848,26.188180923461914,8.896773308515549,1.067093849182129,0.3,0.05
1100,TRAIN,-0.032983459532260895,0.06708729267120361,0.23986969888210297,0.08680571615695953,0.9198242425918579,20.786752700805664,9.295620024204254,0.9320058822631836,0.3,0.05
1125,VALID,0.008939117717090994,0.06028182432055473,0.19144217669963837,0.07706215977668762,0.9296680688858032,25.538293838500977,9.381059557199478,0.9332650899887085,0.3,0.05
1200,TRAIN,-0.04407915472984314,0.06335124373435974,0.19787883758544922,0.07980427891016006,0.9234017729759216,24.455053329467773,9.728647768497467,0.6208381652832031,0.3,0.05
1250,VALID,0.008621698390925303,0.05724328011274338,0.18461313843727112,0.07695869356393814,0.9298567771911621,24.786453247070312,8.508211374282837,0.9856075048446655,0.3,0.05
1300,TRAIN,-0.04770573228597641,0.06431934982538223,0.22256533801555634,0.0832761600613594,0.9282271862030029,26.63971710205078,9.386949986219406,0.7525427341461182,0.3,0.05
1375,VALID,0.008520669216522947,0.057809919118881226,0.18492579460144043,0.07489581406116486,0.9335667490959167,24.687772750854492,8.847561478614807,0.9188065528869629,0.3,0.05
1400,TRAIN,-0.053117647767066956,0.06492826342582703,0.21014706790447235,0.0856604278087616,0.9130054712295532,24.838226318359375,9.22410860657692,0.5665707588195801,0.3,0.05
1500,TRAIN,-0.06518957763910294,0.04698559269309044,0.16192695498466492,0.06852784007787704,0.9515181183815002,21.242656707763672,6.903614103794098,0.7873332500457764,0.3,0.05
1500,VALID,0.008396225952310488,0.05688609555363655,0.18243743479251862,0.07437542825937271,0.9344867467880249,24.148435592651367,8.65824967622757,0.9407569169998169,0.3,0.05
1600,TRAIN,-0.06823939830064774,0.05497818440198898,0.18014028668403625,0.06933581829071045,0.9380702972412109,20.61707878112793,8.290199190378189,0.6629543304443359,0.3,0.05
1625,VALID,0.008310072415042669,0.056426383554935455,0.18224860727787018,0.07395611703395844,0.9352233409881592,23.995975494384766,8.494994044303894,0.9260387420654297,0.3,0.05
1700,TRAIN,-0.0716673880815506,0.054228655993938446,0.18022140860557556,0.06663689762353897,0.9513459205627441,19.19734764099121,8.19372832775116,0.6491880416870117,0.3,0.05
1750,VALID,0.0081633282097755,0.05510317534208298,0.17750239372253418,0.07364426553249359,0.9357684850692749,23.68912124633789,8.23550894856453,0.9450496435165405,0.3,0.05
1800,TRAIN,-0.07780291885137558,0.05087551102042198,0.16303391754627228,0.06101750209927559,0.9587494730949402,19.551786422729492,7.955053448677063,0.40342044830322266,0.3,0.05
1875,VALID,0.008145838917698711,0.05596538633108139,0.17981208860874176,0.07220952957868576,0.9382468461990356,23.503013610839844,8.557730168104172,0.8909486532211304,0.3,0.05
1900,TRAIN,-0.07469380646944046,0.05488545447587967,0.17476700246334076,0.07178409397602081,0.9377390146255493,26.990644454956055,8.319568634033203,0.5840814113616943,0.3,0.05
2000,TRAIN,-0.08425143361091614,0.04687212407588959,0.15489014983177185,0.05689484253525734,0.9618310928344727,15.944426536560059,7.141703367233276,0.4304671287536621,0.3,0.05
