2026-05-16 16:36:41,916 - Successfully loaded pretrained weights from: /home/deltax/research/May_bien_ap/try_4/Experiment_2/checkpoints_exp2_pretrain/BiGRU_6L/best.pth
2026-05-16 16:36:50,469 - BEST MODEL UPDATED - MAE_norm: 0.1202 | λ₃=0.3, λ₄=0.05
2026-05-16 16:36:58,816 - BEST MODEL UPDATED - MAE_norm: 0.0721 | λ₃=0.3, λ₄=0.05
2026-05-16 16:37:07,767 - BEST MODEL UPDATED - MAE_norm: 0.0661 | λ₃=0.3, λ₄=0.05
2026-05-16 16:37:16,678 - BEST MODEL UPDATED - MAE_norm: 0.0625 | λ₃=0.3, λ₄=0.05
2026-05-16 16:37:34,383 - BEST MODEL UPDATED - MAE_norm: 0.0610 | λ₃=0.3, λ₄=0.05
2026-05-16 16:37:43,211 - BEST MODEL UPDATED - MAE_norm: 0.0596 | λ₃=0.3, λ₄=0.05
2026-05-16 16:38:09,700 - BEST MODEL UPDATED - MAE_norm: 0.0572 | λ₃=0.3, λ₄=0.05
2026-05-16 16:38:27,362 - BEST MODEL UPDATED - MAE_norm: 0.0569 | λ₃=0.3, λ₄=0.05
2026-05-16 16:38:36,190 - BEST MODEL UPDATED - MAE_norm: 0.0564 | λ₃=0.3, λ₄=0.05
2026-05-16 16:38:44,853 - BEST MODEL UPDATED - MAE_norm: 0.0551 | λ₃=0.3, λ₄=0.05
2026-05-16 16:39:10,638 - BEST MODEL UPDATED - MAE_norm: 0.0547 | λ₃=0.3, λ₄=0.05
2026-05-16 16:39:19,516 - BEST MODEL UPDATED - MAE_norm: 0.0546 | λ₃=0.3, λ₄=0.05
2026-05-16 16:39:28,335 - BEST MODEL UPDATED - MAE_norm: 0.0545 | λ₃=0.3, λ₄=0.05
2026-05-16 16:39:37,233 - BEST MODEL UPDATED - MAE_norm: 0.0533 | λ₃=0.3, λ₄=0.05
2026-05-16 16:40:03,514 - BEST MODEL UPDATED - MAE_norm: 0.0525 | λ₃=0.3, λ₄=0.05
2026-05-16 16:40:12,271 - BEST MODEL UPDATED - MAE_norm: 0.0512 | λ₃=0.3, λ₄=0.05
2026-05-16 16:40:21,189 - BEST MODEL UPDATED - MAE_norm: 0.0506 | λ₃=0.3, λ₄=0.05
2026-05-16 16:40:29,764 - BEST MODEL UPDATED - MAE_norm: 0.0499 | λ₃=0.3, λ₄=0.05
2026-05-16 16:40:55,934 - BEST MODEL UPDATED - MAE_norm: 0.0495 | λ₃=0.3, λ₄=0.05
2026-05-16 16:41:04,792 - BEST MODEL UPDATED - MAE_norm: 0.0479 | λ₃=0.3, λ₄=0.05
2026-05-16 16:41:40,075 - BEST MODEL UPDATED - MAE_norm: 0.0467 | λ₃=0.3, λ₄=0.05
2026-05-16 16:41:57,727 - BEST MODEL UPDATED - MAE_norm: 0.0464 | λ₃=0.3, λ₄=0.05
2026-05-16 16:42:15,064 - BEST MODEL UPDATED - MAE_norm: 0.0462 | λ₃=0.3, λ₄=0.05
2026-05-16 16:42:32,343 - BEST MODEL UPDATED - MAE_norm: 0.0458 | λ₃=0.3, λ₄=0.05
2026-05-16 16:42:41,158 - BEST MODEL UPDATED - MAE_norm: 0.0457 | λ₃=0.3, λ₄=0.05
2026-05-16 16:43:15,949 - BEST MODEL UPDATED - MAE_norm: 0.0456 | λ₃=0.3, λ₄=0.05
2026-05-16 16:43:59,256 - Finished BiGRU6L_l3_0.3_l4_0.05 - Best MAE_norm: 0.0456
