2026-05-16 17:07:20,273 - Successfully loaded pretrained weights from: /home/deltax/research/May_bien_ap/try_4/Experiment_2/checkpoints_exp2_pretrain/BiGRU_6L/best.pth
2026-05-16 17:07:29,181 - BEST MODEL UPDATED - MAE_norm: 0.1196 | λ₃=0.5, λ₄=0.1
2026-05-16 17:07:38,016 - BEST MODEL UPDATED - MAE_norm: 0.0754 | λ₃=0.5, λ₄=0.1
2026-05-16 17:07:47,199 - BEST MODEL UPDATED - MAE_norm: 0.0683 | λ₃=0.5, λ₄=0.1
2026-05-16 17:07:56,301 - BEST MODEL UPDATED - MAE_norm: 0.0641 | λ₃=0.5, λ₄=0.1
2026-05-16 17:08:14,436 - BEST MODEL UPDATED - MAE_norm: 0.0622 | λ₃=0.5, λ₄=0.1
2026-05-16 17:08:23,430 - BEST MODEL UPDATED - MAE_norm: 0.0616 | λ₃=0.5, λ₄=0.1
2026-05-16 17:08:32,527 - BEST MODEL UPDATED - MAE_norm: 0.0611 | λ₃=0.5, λ₄=0.1
2026-05-16 17:08:59,657 - BEST MODEL UPDATED - MAE_norm: 0.0611 | λ₃=0.5, λ₄=0.1
2026-05-16 17:09:08,544 - BEST MODEL UPDATED - MAE_norm: 0.0598 | λ₃=0.5, λ₄=0.1
2026-05-16 17:09:26,353 - BEST MODEL UPDATED - MAE_norm: 0.0591 | λ₃=0.5, λ₄=0.1
2026-05-16 17:09:35,319 - BEST MODEL UPDATED - MAE_norm: 0.0586 | λ₃=0.5, λ₄=0.1
2026-05-16 17:09:43,956 - BEST MODEL UPDATED - MAE_norm: 0.0583 | λ₃=0.5, λ₄=0.1
2026-05-16 17:10:28,197 - BEST MODEL UPDATED - MAE_norm: 0.0570 | λ₃=0.5, λ₄=0.1
2026-05-16 17:10:37,269 - BEST MODEL UPDATED - MAE_norm: 0.0564 | λ₃=0.5, λ₄=0.1
2026-05-16 17:11:04,368 - BEST MODEL UPDATED - MAE_norm: 0.0564 | λ₃=0.5, λ₄=0.1
2026-05-16 17:11:22,633 - BEST MODEL UPDATED - MAE_norm: 0.0539 | λ₃=0.5, λ₄=0.1
2026-05-16 17:11:31,852 - BEST MODEL UPDATED - MAE_norm: 0.0517 | λ₃=0.5, λ₄=0.1
2026-05-16 17:11:41,098 - BEST MODEL UPDATED - MAE_norm: 0.0495 | λ₃=0.5, λ₄=0.1
2026-05-16 17:12:07,503 - BEST MODEL UPDATED - MAE_norm: 0.0480 | λ₃=0.5, λ₄=0.1
2026-05-16 17:12:16,234 - BEST MODEL UPDATED - MAE_norm: 0.0475 | λ₃=0.5, λ₄=0.1
2026-05-16 17:12:25,334 - BEST MODEL UPDATED - MAE_norm: 0.0470 | λ₃=0.5, λ₄=0.1
2026-05-16 17:13:00,488 - BEST MODEL UPDATED - MAE_norm: 0.0464 | λ₃=0.5, λ₄=0.1
2026-05-16 17:13:17,922 - BEST MODEL UPDATED - MAE_norm: 0.0462 | λ₃=0.5, λ₄=0.1
2026-05-16 17:13:26,720 - BEST MODEL UPDATED - MAE_norm: 0.0462 | λ₃=0.5, λ₄=0.1
2026-05-16 17:13:35,584 - BEST MODEL UPDATED - MAE_norm: 0.0456 | λ₃=0.5, λ₄=0.1
2026-05-16 17:14:19,782 - BEST MODEL UPDATED - MAE_norm: 0.0454 | λ₃=0.5, λ₄=0.1
2026-05-16 17:14:46,566 - Finished BiGRU6L_l3_0.5_l4_0.1 - Best MAE_norm: 0.0454
