Step,Phase,Loss,MAE_norm,MAE_Watts,RMSE,R2,P95_Error_pct,MAPE,MaxErr,lambda3,lambda4
100,TRAIN,0.35389798879623413,0.17018893361091614,0.5214219093322754,0.22963778674602509,0.2666776180267334,56.69950866699219,24.131137132644653,1.9429535865783691,0.5,0.1
125,VALID,0.02460735000204295,0.1195787787437439,0.39300256967544556,0.15999658405780792,0.6968262195587158,54.46531677246094,18.716007471084595,2.3899154663085938,0.5,0.1
200,TRAIN,0.24887272715568542,0.09029954671859741,0.2769275903701782,0.1389026939868927,0.7588939070701599,48.51168441772461,13.54261338710785,1.2324219942092896,0.5,0.1
250,VALID,0.013341879413928837,0.07539093494415283,0.2345590591430664,0.10856282711029053,0.8604170083999634,38.25095748901367,11.538451164960861,1.3135402202606201,0.5,0.1
300,TRAIN,0.17719963192939758,0.07607197761535645,0.2180301696062088,0.11457031220197678,0.8152404427528381,43.19457244873047,11.943497508764267,0.9347723722457886,0.5,0.1
375,VALID,0.011300060665234923,0.06834214925765991,0.21662157773971558,0.09531059861183167,0.8924147486686707,33.00217056274414,10.443270206451416,1.1117514371871948,0.5,0.1
400,TRAIN,0.12662434577941895,0.0655137151479721,0.20064523816108704,0.08558513224124908,0.916863739490509,24.79997444152832,10.211929678916931,0.7585928440093994,0.5,0.1
500,TRAIN,0.0906762182712555,0.07617727667093277,0.24253365397453308,0.1035977378487587,0.8678455352783203,27.98609161376953,10.636120289564133,0.7685058116912842,0.5,0.1
500,VALID,0.010366399656049907,0.0641149953007698,0.20653781294822693,0.08952964097261429,0.905069887638092,32.41323471069336,9.485945850610733,1.108210563659668,0.5,0.1
600,TRAIN,0.06028033792972565,0.0828671008348465,0.29752445220947266,0.09581920504570007,0.9062777757644653,25.91474151611328,11.710196733474731,0.9579281806945801,0.5,0.1
625,VALID,0.009941531898221001,0.0643044114112854,0.20851896703243256,0.08445289731025696,0.9155306220054626,27.670482635498047,9.772764891386032,1.073918342590332,0.5,0.1
700,TRAIN,0.02535976469516754,0.05570667237043381,0.1887912154197693,0.07338383048772812,0.9358522295951843,21.477140426635742,8.282981812953949,0.6745635271072388,0.5,0.1
750,VALID,0.009545115593937226,0.062237780541181564,0.20231866836547852,0.08218401670455933,0.9200083017349243,27.267189025878906,9.381983429193497,1.0403151512145996,0.5,0.1
800,TRAIN,0.006316743791103363,0.08062946796417236,0.2528056502342224,0.09810607135295868,0.881696343421936,30.604270935058594,12.637904286384583,0.6805200576782227,0.5,0.1
875,VALID,0.009448420300032012,0.061585865914821625,0.2030557245016098,0.08178411424160004,0.9207848310470581,25.843841552734375,9.092888236045837,1.143951416015625,0.5,0.1
900,TRAIN,-0.022648736834526062,0.05863494053483009,0.18380005657672882,0.0788741186261177,0.9332810640335083,24.714122772216797,9.125872701406479,0.7825465202331543,0.5,0.1
1000,TRAIN,-0.04382710158824921,0.05414328724145889,0.18289542198181152,0.06711295247077942,0.9494651556015015,17.966890335083008,8.334484696388245,0.6981706619262695,0.5,0.1
1000,VALID,0.009335825787275098,0.06113196164369583,0.20217502117156982,0.08100080490112305,0.9222950339317322,25.00750732421875,8.997799456119537,1.1609301567077637,0.5,0.1
1100,TRAIN,-0.04999925196170807,0.08510757982730865,0.2631663680076599,0.10407333821058273,0.885919988155365,35.72575378417969,14.070256054401398,0.7253513336181641,0.5,0.1
1125,VALID,0.009363709046738222,0.06144547089934349,0.20418156683444977,0.08102758973836899,0.922243595123291,24.67783546447754,9.027566760778427,1.1968774795532227,0.5,0.1
1200,TRAIN,-0.07489226013422012,0.05411156266927719,0.18661844730377197,0.0674225240945816,0.9483880400657654,17.566017150878906,8.093230426311493,0.848325252532959,0.5,0.1
1250,VALID,0.00930293336568866,0.06253984570503235,0.20246818661689758,0.07878365367650986,0.9264906644821167,25.418628692626953,9.65726375579834,1.028604507446289,0.5,0.1
1300,TRAIN,-0.0884295403957367,0.055028289556503296,0.18570059537887573,0.06901689618825912,0.9514144062995911,20.497587203979492,8.185520768165588,0.6194024085998535,0.5,0.1
1375,VALID,0.0091392165486468,0.06111946329474449,0.2010272890329361,0.07855428010225296,0.926918089389801,24.548046112060547,9.152811020612717,1.1465530395507812,0.5,0.1
1400,TRAIN,-0.09259483218193054,0.07009849697351456,0.21667689085006714,0.09218709915876389,0.88924241065979,28.96796417236328,10.618500411510468,0.8340675830841064,0.5,0.1
1500,TRAIN,-0.10136449337005615,0.07531401515007019,0.2474845051765442,0.09106559306383133,0.9032258987426758,27.00554084777832,11.721804738044739,0.7682211399078369,0.5,0.1
1500,VALID,0.008949575611040927,0.05980971083045006,0.1956114023923874,0.07783006131649017,0.9282593727111816,24.45271873474121,8.968205749988556,1.0908856391906738,0.5,0.1
1600,TRAIN,-0.12026713788509369,0.05413768067955971,0.18052540719509125,0.0663200169801712,0.9492261409759521,20.129165649414062,8.215819299221039,0.4953651428222656,0.5,0.1
1625,VALID,0.009573883173288777,0.06176663562655449,0.20592047274112701,0.08317364007234573,0.9180702567100525,24.980253219604492,8.840540051460266,1.202704668045044,0.5,0.1
1700,TRAIN,-0.12619264423847198,0.057600393891334534,0.18731236457824707,0.07128385454416275,0.947412371635437,20.69509506225586,8.738972246646881,0.5876752138137817,0.5,0.1
1750,VALID,0.008791791304247454,0.05913463979959488,0.1922404021024704,0.07665029913187027,0.9304178357124329,24.33607292175293,8.923956006765366,1.02305269241333,0.5,0.1
1800,TRAIN,-0.13474076986312866,0.054700370877981186,0.1690082848072052,0.06965479254722595,0.9438304901123047,26.990798950195312,8.777731657028198,0.5831048488616943,0.5,0.1
1875,VALID,0.008752422960242257,0.05864739418029785,0.1915760189294815,0.0768357589840889,0.9300807118415833,24.308734893798828,8.749726414680481,1.0662565231323242,0.5,0.1
1900,TRAIN,-0.13828574120998383,0.05718671530485153,0.17642326653003693,0.0769510418176651,0.9051132202148438,21.757232666015625,8.560758829116821,0.7669813632965088,0.5,0.1
2000,TRAIN,-0.13513508439064026,0.07453521341085434,0.24570342898368835,0.09025181829929352,0.8958673477172852,26.026830673217773,11.241228878498077,0.6891145706176758,0.5,0.1
2000,VALID,0.008717104312381707,0.058332059532403946,0.19061598181724548,0.0767645388841629,0.930210292339325,24.15636444091797,8.655615150928497,1.0686407089233398,0.5,0.1
2100,TRAIN,-0.14049294590950012,0.07267004996538162,0.2538270652294159,0.08989410847425461,0.9252017140388489,25.233558654785156,10.521116852760315,0.9006805419921875,0.5,0.1
2125,VALID,0.008907256400561891,0.060693081468343735,0.19515879452228546,0.0761396586894989,0.931341826915741,25.10441017150879,9.434480965137482,1.0098600387573242,0.5,0.1
2200,TRAIN,-0.1524398922920227,0.05881023034453392,0.19243739545345306,0.07833383232355118,0.9018056392669678,24.866596221923828,8.474283665418625,0.7136139869689941,0.5,0.1
2250,VALID,0.008615974293206818,0.0584881491959095,0.18995551764965057,0.07519058883190155,0.9330428242683411,23.88774299621582,8.853624016046524,1.0462312698364258,0.5,0.1
2300,TRAIN,-0.16097575426101685,0.05600586533546448,0.18347899615764618,0.07050246000289917,0.9414952397346497,21.873714447021484,8.486668765544891,0.5225870609283447,0.5,0.1
2375,VALID,0.009434283623704687,0.06209428235888481,0.208914116024971,0.08116280287504196,0.9219838976860046,24.15919303894043,8.961530029773712,1.2453343868255615,0.5,0.1
2400,TRAIN,-0.15986843407154083,0.060072991997003555,0.2070794254541397,0.07774951308965683,0.9312579035758972,17.267744064331055,8.574962615966797,0.8497509956359863,0.5,0.1
2500,TRAIN,-0.15125322341918945,0.07468895614147186,0.23045441508293152,0.09191393852233887,0.9111531376838684,28.99781036376953,11.924219131469727,0.6218173503875732,0.5,0.1
2500,VALID,0.008725650754058734,0.05902022123336792,0.1943700760602951,0.07603802531957626,0.9315249919891357,23.748891830444336,8.77431333065033,1.1696548461914062,0.5,0.1
2600,TRAIN,-0.17406314611434937,0.05358702316880226,0.18522311747074127,0.07139190286397934,0.9364496469497681,22.73130989074707,7.792562246322632,0.7823266983032227,0.5,0.1
2625,VALID,0.008325462637003511,0.05701019614934921,0.18460941314697266,0.07317099720239639,0.936591386795044,23.273900985717773,8.66224393248558,0.959813117980957,0.5,0.1
2700,TRAIN,-0.12374306470155716,0.0986059308052063,0.33003076910972595,0.11392442137002945,0.8390452861785889,29.226259231567383,15.88733196258545,0.9769010543823242,0.5,0.1
2750,VALID,0.008281657515908591,0.05644046142697334,0.18346485495567322,0.0732855424284935,0.9363927245140076,23.223600387573242,8.509491384029388,0.9996967315673828,0.5,0.1
2800,TRAIN,-0.13680395483970642,0.08792035281658173,0.3095529079437256,0.10428959876298904,0.8758528232574463,24.78884506225586,11.963346600532532,1.0325403213500977,0.5,0.1
2875,VALID,0.008644556291983463,0.05958478897809982,0.1913684457540512,0.07396318018436432,0.9352109432220459,24.289112091064453,9.370634704828262,0.8555574417114258,0.5,0.1
2900,TRAIN,-0.17952534556388855,0.05922287702560425,0.17637959122657776,0.07225760817527771,0.9445887804031372,23.629995346069336,9.832717478275299,0.4530017375946045,0.5,0.1
3000,TRAIN,-0.18157047033309937,0.05654525011777878,0.19155853986740112,0.07121509313583374,0.9413037896156311,20.33851432800293,8.258157968521118,0.7023229598999023,0.5,0.1
3000,VALID,0.008327648101840168,0.05760297551751137,0.18681955337524414,0.07226517796516418,0.9381515979766846,22.93662452697754,8.894453942775726,0.991358757019043,0.5,0.1
3100,TRAIN,-0.17703460156917572,0.06136511266231537,0.2052195966243744,0.07681097090244293,0.9349075555801392,22.796926498413086,8.865654468536377,0.5887932777404785,0.5,0.1
3125,VALID,0.008461032848572358,0.056360095739364624,0.18513551354408264,0.07594455033540726,0.9316932559013367,23.615432739257812,8.102522790431976,1.0567541122436523,0.5,0.1
3200,TRAIN,-0.16720086336135864,0.06585118174552917,0.22580163180828094,0.0831456184387207,0.9241836071014404,23.341590881347656,9.292593598365784,0.8777008056640625,0.5,0.1
3250,VALID,0.008608906457084231,0.05928421765565872,0.18770204484462738,0.07392794638872147,0.9352726936340332,26.602413177490234,9.568573534488678,0.8215131759643555,0.5,0.1
3300,TRAIN,-0.1838202327489853,0.053016193211078644,0.17589329183101654,0.07303781062364578,0.9440522193908691,22.112394332885742,7.77856707572937,0.7109816074371338,0.5,0.1
3375,VALID,0.0076683713850798085,0.0538736917078495,0.17481368780136108,0.06811220198869705,0.9450560212135315,22.116504669189453,8.346524089574814,0.8160257339477539,0.5,0.1
3400,TRAIN,-0.152350515127182,0.07192669808864594,0.23528920114040375,0.0916629508137703,0.8919116854667664,26.260822296142578,10.180936753749847,0.7513153553009033,0.5,0.1
3500,TRAIN,-0.19781646132469177,0.04795651137828827,0.1623857468366623,0.0636412650346756,0.9540374875068665,18.789091110229492,7.092070579528809,0.5917553901672363,0.5,0.1
3500,VALID,0.007325984581257217,0.051718853414058685,0.16960494220256805,0.06619805842638016,0.9481008052825928,21.145097732543945,7.903239876031876,0.7431395053863525,0.5,0.1
