Time(s),Vin(V),Vout(V)
-2.462200E-004,1.05308e+01,8.85247e+00
-2.461900E-004,1.05308e+01,9.05348e+00
-2.461600E-004,1.05308e+01,9.05348e+00
-2.461300E-004,1.05308e+01,9.05348e+00
-2.461000E-004,1.01287e+01,8.85247e+00
-2.460700E-004,1.09328e+01,9.05348e+00
-2.460400E-004,1.05308e+01,9.05348e+00
-2.460100E-004,1.05308e+01,9.05348e+00
-2.459800E-004,1.01287e+01,9.05348e+00
-2.459500E-004,1.05308e+01,9.05348e+00
-2.459200E-004,1.05308e+01,9.05348e+00
-2.458900E-004,1.05308e+01,8.85247e+00
-2.458600E-004,1.01287e+01,9.05348e+00
-2.458300E-004,1.05308e+01,9.05348e+00
-2.458000E-004,1.05308e+01,8.85247e+00
-2.457700E-004,1.05308e+01,9.05348e+00
-2.457400E-004,1.05308e+01,9.05348e+00
-2.457100E-004,1.05308e+01,9.05348e+00
-2.456800E-004,1.05308e+01,9.05348e+00
-2.456500E-004,1.01287e+01,9.05348e+00
-2.456200E-004,1.05308e+01,9.05348e+00
-2.455900E-004,1.05308e+01,9.25448e+00
-2.455600E-004,1.01287e+01,9.05348e+00
-2.455300E-004,1.05308e+01,9.05348e+00
-2.455000E-004,1.05308e+01,8.85247e+00
-2.454700E-004,1.05308e+01,9.05348e+00
-2.454400E-004,1.05308e+01,9.05348e+00
-2.454100E-004,1.01287e+01,9.05348e+00
-2.453800E-004,1.05308e+01,8.85247e+00
-2.453500E-004,1.05308e+01,9.05348e+00
-2.453200E-004,1.01287e+01,9.05348e+00
-2.452900E-004,1.05308e+01,9.05348e+00
-2.452600E-004,1.05308e+01,9.05348e+00
-2.452300E-004,1.05308e+01,9.05348e+00
-2.452000E-004,1.05308e+01,9.25448e+00
-2.451700E-004,1.01287e+01,9.05348e+00
-2.451400E-004,1.05308e+01,9.05348e+00
-2.451100E-004,1.05308e+01,9.05348e+00
-2.450800E-004,1.09328e+01,9.05348e+00
-2.450500E-004,1.05308e+01,9.05348e+00
-2.450200E-004,1.01287e+01,9.05348e+00
-2.449900E-004,1.01287e+01,9.05348e+00
-2.449600E-004,1.05308e+01,9.05348e+00
-2.449300E-004,1.01287e+01,9.05348e+00
-2.449000E-004,1.05308e+01,8.85247e+00
-2.448700E-004,1.09328e+01,9.25448e+00
-2.448400E-004,1.05308e+01,9.25448e+00
-2.448100E-004,1.05308e+01,9.05348e+00
-2.447800E-004,1.05308e+01,9.05348e+00
-2.447500E-004,1.05308e+01,9.05348e+00
-2.447200E-004,1.05308e+01,9.05348e+00
-2.446900E-004,1.05308e+01,9.05348e+00
-2.446600E-004,1.05308e+01,9.05348e+00
-2.446300E-004,1.05308e+01,9.05348e+00
-2.446000E-004,1.05308e+01,9.05348e+00
-2.445700E-004,1.01287e+01,8.85247e+00
-2.445400E-004,1.05308e+01,9.05348e+00
-2.445100E-004,1.05308e+01,9.05348e+00
-2.444800E-004,1.05308e+01,9.05348e+00
-2.444500E-004,1.05308e+01,9.25448e+00
-2.444200E-004,1.05308e+01,9.05348e+00
-2.443900E-004,1.05308e+01,9.05348e+00
-2.443600E-004,1.05308e+01,9.05348e+00
-2.443300E-004,1.05308e+01,9.05348e+00
-2.443000E-004,1.05308e+01,8.85247e+00
-2.442700E-004,1.05308e+01,9.05348e+00
-2.442400E-004,1.01287e+01,8.85247e+00
-2.442100E-004,1.05308e+01,9.05348e+00
-2.441800E-004,1.05308e+01,9.05348e+00
-2.441500E-004,1.05308e+01,9.25448e+00
-2.441200E-004,1.05308e+01,9.25448e+00
-2.440900E-004,1.05308e+01,9.05348e+00
-2.440600E-004,1.05308e+01,9.05348e+00
-2.440300E-004,1.01287e+01,9.05348e+00
-2.440000E-004,1.05308e+01,9.25448e+00
-2.439700E-004,1.05308e+01,8.85247e+00
-2.439400E-004,1.05308e+01,9.05348e+00
-2.439100E-004,1.05308e+01,8.85247e+00
-2.438800E-004,1.05308e+01,9.25448e+00
-2.438500E-004,1.05308e+01,9.25448e+00
-2.438200E-004,1.05308e+01,8.85247e+00
-2.437900E-004,1.05308e+01,9.05348e+00
-2.437600E-004,1.01287e+01,9.25448e+00
-2.437300E-004,1.05308e+01,9.05348e+00
-2.437000E-004,1.05308e+01,9.05348e+00
-2.436700E-004,1.09328e+01,9.05348e+00
-2.436400E-004,1.05308e+01,9.05348e+00
-2.436100E-004,1.05308e+01,9.05348e+00
-2.435800E-004,1.05308e+01,9.05348e+00
-2.435500E-004,1.05308e+01,9.05348e+00
-2.435200E-004,1.09328e+01,9.25448e+00
-2.434900E-004,1.05308e+01,9.05348e+00
-2.434600E-004,1.05308e+01,8.85247e+00
-2.434300E-004,1.05308e+01,9.05348e+00
-2.434000E-004,1.05308e+01,9.05348e+00
-2.433700E-004,1.05308e+01,9.05348e+00
-2.433400E-004,1.09328e+01,9.05348e+00
-2.433100E-004,1.09328e+01,9.05348e+00
-2.432800E-004,1.05308e+01,9.05348e+00
-2.432500E-004,1.05308e+01,9.05348e+00
-2.432200E-004,1.05308e+01,9.05348e+00
-2.431900E-004,1.05308e+01,9.05348e+00
-2.431600E-004,1.05308e+01,9.05348e+00
-2.431300E-004,1.05308e+01,9.05348e+00
-2.431000E-004,1.05308e+01,9.05348e+00
-2.430700E-004,1.09328e+01,9.05348e+00
-2.430400E-004,1.05308e+01,9.05348e+00
-2.430100E-004,1.05308e+01,9.25448e+00
-2.429800E-004,1.05308e+01,9.05348e+00
-2.429500E-004,1.05308e+01,9.25448e+00
-2.429200E-004,1.05308e+01,9.05348e+00
-2.428900E-004,1.05308e+01,9.05348e+00
-2.428600E-004,1.05308e+01,9.05348e+00
-2.428300E-004,1.09328e+01,9.05348e+00
-2.428000E-004,1.05308e+01,9.05348e+00
-2.427700E-004,1.05308e+01,9.05348e+00
-2.427400E-004,1.05308e+01,9.05348e+00
-2.427100E-004,1.05308e+01,9.25448e+00
-2.426800E-004,1.09328e+01,9.05348e+00
-2.426500E-004,1.01287e+01,9.05348e+00
-2.426200E-004,1.05308e+01,9.05348e+00
-2.425900E-004,1.05308e+01,9.25448e+00
-2.425600E-004,1.05308e+01,9.05348e+00
-2.425300E-004,1.09328e+01,9.25448e+00
-2.425000E-004,1.01287e+01,9.05348e+00
-2.424700E-004,1.09328e+01,9.25448e+00
-2.424400E-004,1.05308e+01,9.05348e+00
-2.424100E-004,1.05308e+01,9.05348e+00
-2.423800E-004,1.05308e+01,9.05348e+00
-2.423500E-004,1.05308e+01,9.05348e+00
-2.423200E-004,1.05308e+01,9.05348e+00
-2.422900E-004,1.05308e+01,9.05348e+00
-2.422600E-004,1.05308e+01,9.05348e+00
-2.422300E-004,1.05308e+01,9.05348e+00
-2.422000E-004,1.05308e+01,9.05348e+00
-2.421700E-004,1.01287e+01,9.05348e+00
-2.421400E-004,1.05308e+01,9.05348e+00
-2.421100E-004,1.05308e+01,9.05348e+00
-2.420800E-004,1.09328e+01,9.05348e+00
-2.420500E-004,1.05308e+01,9.25448e+00
-2.420200E-004,1.05308e+01,9.05348e+00
-2.419900E-004,1.05308e+01,9.05348e+00
-2.419600E-004,1.05308e+01,9.05348e+00
-2.419300E-004,1.05308e+01,9.05348e+00
-2.419000E-004,1.05308e+01,9.25448e+00
-2.418700E-004,1.01287e+01,8.85247e+00
-2.418400E-004,1.05308e+01,9.25448e+00
-2.418100E-004,1.01287e+01,9.25448e+00
-2.417800E-004,1.05308e+01,9.05348e+00
-2.417500E-004,1.01287e+01,9.05348e+00
-2.417200E-004,1.05308e+01,9.05348e+00
-2.416900E-004,1.05308e+01,8.85247e+00
-2.416600E-004,1.05308e+01,9.05348e+00
-2.416300E-004,1.05308e+01,9.05348e+00
-2.416000E-004,1.01287e+01,9.05348e+00
-2.415700E-004,1.05308e+01,8.85247e+00
-2.415400E-004,1.05308e+01,9.05348e+00
-2.415100E-004,1.05308e+01,9.05348e+00
-2.414800E-004,1.05308e+01,9.05348e+00
-2.414500E-004,1.09328e+01,9.05348e+00
-2.414200E-004,1.05308e+01,9.25448e+00
-2.413900E-004,1.05308e+01,9.05348e+00
-2.413600E-004,1.05308e+01,9.05348e+00
-2.413300E-004,1.05308e+01,9.05348e+00
-2.413000E-004,1.05308e+01,9.05348e+00
-2.412700E-004,1.05308e+01,9.05348e+00
-2.412400E-004,1.05308e+01,9.05348e+00
-2.412100E-004,1.05308e+01,9.05348e+00
-2.411800E-004,1.05308e+01,9.05348e+00
-2.411500E-004,1.05308e+01,9.05348e+00
-2.411200E-004,1.05308e+01,9.05348e+00
-2.410900E-004,1.09328e+01,9.05348e+00
-2.410600E-004,1.01287e+01,9.05348e+00
-2.410300E-004,1.05308e+01,9.05348e+00
-2.410000E-004,1.05308e+01,9.25448e+00
-2.409700E-004,1.05308e+01,9.25448e+00
-2.409400E-004,1.01287e+01,9.05348e+00
-2.409100E-004,1.05308e+01,9.05348e+00
-2.408800E-004,1.01287e+01,9.05348e+00
-2.408500E-004,1.05308e+01,9.05348e+00
-2.408200E-004,1.05308e+01,9.25448e+00
-2.407900E-004,1.09328e+01,9.05348e+00
-2.407600E-004,1.05308e+01,9.05348e+00
-2.407300E-004,1.05308e+01,9.25448e+00
-2.407000E-004,1.05308e+01,9.25448e+00
-2.406700E-004,1.05308e+01,9.25448e+00
-2.406400E-004,1.09328e+01,9.25448e+00
-2.406100E-004,1.05308e+01,9.05348e+00
-2.405800E-004,1.05308e+01,8.85247e+00
-2.405500E-004,1.05308e+01,9.05348e+00
-2.405200E-004,1.05308e+01,9.05348e+00
-2.404900E-004,1.05308e+01,9.25448e+00
-2.404600E-004,1.05308e+01,9.25448e+00
-2.404300E-004,1.05308e+01,9.25448e+00
-2.404000E-004,1.05308e+01,9.05348e+00
-2.403700E-004,1.01287e+01,9.05348e+00
-2.403400E-004,1.09328e+01,8.85247e+00
-2.403100E-004,1.05308e+01,9.25448e+00
-2.402800E-004,1.05308e+01,9.05348e+00
-2.402500E-004,1.05308e+01,9.05348e+00
-2.402200E-004,1.05308e+01,9.05348e+00
-2.401900E-004,1.05308e+01,9.25448e+00
-2.401600E-004,1.01287e+01,9.05348e+00
-2.401300E-004,1.05308e+01,9.25448e+00
-2.401000E-004,1.05308e+01,9.05348e+00
-2.400700E-004,1.05308e+01,9.25448e+00
-2.400400E-004,1.05308e+01,9.25448e+00
-2.400100E-004,1.09328e+01,9.25448e+00
-2.399800E-004,1.05308e+01,9.25448e+00
-2.399500E-004,1.05308e+01,9.25448e+00
-2.399200E-004,1.05308e+01,9.05348e+00
-2.398900E-004,1.05308e+01,9.05348e+00
-2.398600E-004,1.05308e+01,9.05348e+00
-2.398300E-004,1.05308e+01,9.25448e+00
-2.398000E-004,1.05308e+01,9.25448e+00
-2.397700E-004,1.01287e+01,9.25448e+00
-2.397400E-004,1.05308e+01,9.25448e+00
-2.397100E-004,1.05308e+01,9.25448e+00
-2.396800E-004,1.05308e+01,9.25448e+00
-2.396500E-004,1.09328e+01,9.05348e+00
-2.396200E-004,1.05308e+01,9.05348e+00
-2.395900E-004,1.05308e+01,9.25448e+00
-2.395600E-004,1.05308e+01,9.25448e+00
-2.395300E-004,1.05308e+01,9.25448e+00
-2.395000E-004,1.05308e+01,9.05348e+00
-2.394700E-004,1.05308e+01,9.05348e+00
-2.394400E-004,1.05308e+01,9.25448e+00
-2.394100E-004,1.09328e+01,9.05348e+00
-2.393800E-004,1.05308e+01,9.05348e+00
