2026-05-16 17:22:43,862 - Successfully loaded pretrained weights from: /home/deltax/research/May_bien_ap/try_4/Experiment_2/checkpoints_exp2_pretrain/BiGRU_6L/best.pth
2026-05-16 17:22:52,486 - BEST MODEL UPDATED - MAE_norm: 0.1186 | λ₃=1.0, λ₄=0.05
2026-05-16 17:23:01,246 - BEST MODEL UPDATED - MAE_norm: 0.0790 | λ₃=1.0, λ₄=0.05
2026-05-16 17:23:10,344 - BEST MODEL UPDATED - MAE_norm: 0.0748 | λ₃=1.0, λ₄=0.05
2026-05-16 17:23:18,922 - BEST MODEL UPDATED - MAE_norm: 0.0697 | λ₃=1.0, λ₄=0.05
2026-05-16 17:23:45,590 - BEST MODEL UPDATED - MAE_norm: 0.0671 | λ₃=1.0, λ₄=0.05
2026-05-16 17:24:03,415 - BEST MODEL UPDATED - MAE_norm: 0.0654 | λ₃=1.0, λ₄=0.05
2026-05-16 17:24:12,289 - BEST MODEL UPDATED - MAE_norm: 0.0648 | λ₃=1.0, λ₄=0.05
2026-05-16 17:24:47,712 - BEST MODEL UPDATED - MAE_norm: 0.0625 | λ₃=1.0, λ₄=0.05
2026-05-16 17:25:23,047 - BEST MODEL UPDATED - MAE_norm: 0.0617 | λ₃=1.0, λ₄=0.05
2026-05-16 17:25:31,825 - BEST MODEL UPDATED - MAE_norm: 0.0616 | λ₃=1.0, λ₄=0.05
2026-05-16 17:25:58,608 - BEST MODEL UPDATED - MAE_norm: 0.0606 | λ₃=1.0, λ₄=0.05
2026-05-16 17:26:24,841 - BEST MODEL UPDATED - MAE_norm: 0.0600 | λ₃=1.0, λ₄=0.05
2026-05-16 17:26:33,898 - BEST MODEL UPDATED - MAE_norm: 0.0592 | λ₃=1.0, λ₄=0.05
2026-05-16 17:27:00,564 - BEST MODEL UPDATED - MAE_norm: 0.0590 | λ₃=1.0, λ₄=0.05
2026-05-16 17:27:09,313 - BEST MODEL UPDATED - MAE_norm: 0.0571 | λ₃=1.0, λ₄=0.05
2026-05-16 17:27:44,750 - BEST MODEL UPDATED - MAE_norm: 0.0566 | λ₃=1.0, λ₄=0.05
2026-05-16 17:28:02,731 - BEST MODEL UPDATED - MAE_norm: 0.0537 | λ₃=1.0, λ₄=0.05
2026-05-16 17:28:38,126 - BEST MODEL UPDATED - MAE_norm: 0.0520 | λ₃=1.0, λ₄=0.05
2026-05-16 17:29:13,567 - BEST MODEL UPDATED - MAE_norm: 0.0497 | λ₃=1.0, λ₄=0.05
2026-05-16 17:29:31,282 - BEST MODEL UPDATED - MAE_norm: 0.0491 | λ₃=1.0, λ₄=0.05
2026-05-16 17:30:06,435 - Finished BiGRU6L_l3_1.0_l4_0.05 - Best MAE_norm: 0.0491
