Step,Loss,MAE,RMSE,R2,95th_Pct_Error,GradNorm
100,1.0265989303588867,0.7501689195632935,0.8952922224998474,0.0064234137535095215,310.7997131347656,"tensor(57761.9062, device='cuda:0')"
200,1.0355268716812134,0.776665449142456,0.8958387970924377,0.05748218297958374,673.7342529296875,"tensor(37855.2539, device='cuda:0')"
300,0.8900616765022278,0.6640316247940063,0.8311751484870911,0.08962810039520264,459.2427673339844,"tensor(35492.9297, device='cuda:0')"
400,1.413482904434204,0.9167620539665222,1.066983699798584,0.13847750425338745,143.40525817871094,"tensor(64246.8867, device='cuda:0')"
500,1.1537070274353027,0.8271233439445496,0.9516144394874573,0.17755353450775146,205.75698852539062,"tensor(64952.5195, device='cuda:0')"
600,1.0208086967468262,0.745573878288269,0.8928250074386597,0.2552195191383362,135.30650329589844,"tensor(80483.5781, device='cuda:0')"
700,0.6157540678977966,0.5451200008392334,0.6724715828895569,0.4283561110496521,175.07833862304688,"tensor(59833.3047, device='cuda:0')"
800,0.48564982414245605,0.47587674856185913,0.5855653882026672,0.5949622392654419,247.1946563720703,"tensor(56087.0938, device='cuda:0')"
900,0.37002187967300415,0.3916221559047699,0.5025288462638855,0.6936430931091309,152.73434448242188,"tensor(56291.7422, device='cuda:0')"
1000,0.27442997694015503,0.32873350381851196,0.41929692029953003,0.8223064541816711,245.89622497558594,"tensor(33273.6523, device='cuda:0')"
1100,0.13792264461517334,0.21211153268814087,0.2725604176521301,0.9230887293815613,164.21324157714844,"tensor(32955.7148, device='cuda:0')"
1200,0.12842757999897003,0.20538119971752167,0.25848251581192017,0.9203966856002808,305.17626953125,"tensor(20298.4395, device='cuda:0')"
1300,0.13377664983272552,0.19835293292999268,0.27252665162086487,0.9283617734909058,489.4261169433594,"tensor(16148.0791, device='cuda:0')"
1400,0.11659443378448486,0.17881274223327637,0.2508995831012726,0.9263061285018921,208.83267211914062,"tensor(20807.5566, device='cuda:0')"
1500,0.09169533103704453,0.1529283970594406,0.2140486091375351,0.945026159286499,357.2748718261719,"tensor(13742.8857, device='cuda:0')"
1600,0.1009681224822998,0.1656159907579422,0.22645820677280426,0.9390219449996948,109.21379089355469,"tensor(28184.1875, device='cuda:0')"
1700,0.11675143241882324,0.1812511384487152,0.24975205957889557,0.9533745646476746,174.5460205078125,"tensor(42456.5703, device='cuda:0')"
1800,0.06063797324895859,0.12187178432941437,0.15516583621501923,0.971369206905365,209.6939239501953,"tensor(15775.7861, device='cuda:0')"
1900,0.09247487783432007,0.14818589389324188,0.21913263201713562,0.9407790303230286,428.31951904296875,"tensor(19548.5586, device='cuda:0')"
2000,0.11601164937019348,0.16362346708774567,0.25869789719581604,0.9232313632965088,336.318115234375,"tensor(69138.9453, device='cuda:0')"
2100,0.0949631929397583,0.1528378278017044,0.22161191701889038,0.9437165856361389,497.93450927734375,"tensor(37000.0820, device='cuda:0')"
2200,0.06910285353660583,0.11812667548656464,0.18347984552383423,0.9322816729545593,228.77005004882812,"tensor(100963.7188, device='cuda:0')"
2300,0.10010124742984772,0.1526973694562912,0.23300650715827942,0.9372808933258057,1012.9547729492188,"tensor(45866.7812, device='cuda:0')"
2400,0.08888767659664154,0.15232664346694946,0.20782127976417542,0.962023138999939,437.2027587890625,"tensor(56021.8164, device='cuda:0')"
2500,0.05470133572816849,0.10822755098342896,0.14910757541656494,0.972861647605896,193.57638549804688,"tensor(57729.7422, device='cuda:0')"
2600,0.08922384679317474,0.14989912509918213,0.2103666067123413,0.9584788084030151,109.18992614746094,"tensor(58551.2031, device='cuda:0')"
2700,0.09202596545219421,0.1436682641506195,0.22119106352329254,0.9384397268295288,604.5196533203125,"tensor(113053.4922, device='cuda:0')"
2800,0.08232638984918594,0.1341434121131897,0.2051423043012619,0.9551719427108765,134.7922821044922,"tensor(24088.3750, device='cuda:0')"
2900,0.0519329309463501,0.10556071996688843,0.14235417544841766,0.9781787991523743,393.7984924316406,"tensor(32503.3770, device='cuda:0')"
3000,0.08000696450471878,0.11878055334091187,0.2106485217809677,0.9415714144706726,233.0936737060547,"tensor(78383.1953, device='cuda:0')"
3100,0.08732976019382477,0.13877250254154205,0.21377094089984894,0.9598671197891235,359.83294677734375,"tensor(81781.1484, device='cuda:0')"
3200,0.055223021656274796,0.10883462429046631,0.1502419114112854,0.9760516285896301,75.66871643066406,"tensor(58080.6992, device='cuda:0')"
3300,0.0635976493358612,0.11865241825580597,0.16733776032924652,0.9721256494522095,67.34300231933594,"tensor(35594.6562, device='cuda:0')"
3400,0.0471876859664917,0.10541179031133652,0.1247563511133194,0.9844898581504822,209.39930725097656,"tensor(129989.8984, device='cuda:0')"
3500,0.09140969812870026,0.1446993052959442,0.21908879280090332,0.9406797289848328,482.7181091308594,"tensor(60338.6367, device='cuda:0')"
3600,0.07143218070268631,0.12695179879665375,0.1826106160879135,0.9609936475753784,148.16586303710938,"tensor(126513.6719, device='cuda:0')"
3700,0.05951549485325813,0.10552706569433212,0.16690528392791748,0.9763743281364441,69.50450134277344,"tensor(25254.8926, device='cuda:0')"
3800,0.08300070464611053,0.14913409948349,0.19560283422470093,0.973748505115509,63.52390670776367,"tensor(60839.1992, device='cuda:0')"
3900,0.12683632969856262,0.1759154051542282,0.27214282751083374,0.9440546631813049,199.5283966064453,"tensor(163881.2656, device='cuda:0')"
4000,0.06570715457201004,0.12263941764831543,0.17004507780075073,0.9708254337310791,85.2454605102539,"tensor(35427.6094, device='cuda:0')"
4100,0.06929437071084976,0.1258435845375061,0.17759868502616882,0.9568942189216614,156.23284912109375,"tensor(48816.8242, device='cuda:0')"
4200,0.07178767025470734,0.12075057625770569,0.1885802000761032,0.9571778178215027,329.8067626953125,"tensor(92076.8984, device='cuda:0')"
4300,0.0763050764799118,0.1347268670797348,0.18943868577480316,0.9730382561683655,87.55962371826172,"tensor(233694.2656, device='cuda:0')"
4400,0.1214364767074585,0.17284253239631653,0.26378723978996277,0.9307746291160583,209.2442626953125,"tensor(158426.4062, device='cuda:0')"
4500,0.07987707108259201,0.129567489027977,0.20250141620635986,0.9593036770820618,223.619140625,"tensor(54881.4531, device='cuda:0')"
4600,0.13169774413108826,0.1872190535068512,0.2748309075832367,0.9370598196983337,472.8327331542969,"tensor(82508.4922, device='cuda:0')"
4700,0.11255403608083725,0.18560084700584412,0.23848223686218262,0.9422996640205383,271.8686828613281,"tensor(163088.5781, device='cuda:0')"
4800,0.0953185111284256,0.14789992570877075,0.22571779787540436,0.9403398633003235,139.9201202392578,"tensor(93100.3828, device='cuda:0')"
4900,0.08223459124565125,0.13904613256454468,0.20129767060279846,0.9527254104614258,114.51805877685547,"tensor(74828.8750, device='cuda:0')"
5000,0.0752885565161705,0.13949227333068848,0.18286845088005066,0.9573757648468018,185.60330200195312,"tensor(121357.0938, device='cuda:0')"
5100,0.06349195539951324,0.11110129952430725,0.17367085814476013,0.9666847586631775,81.11383819580078,"tensor(148859.5781, device='cuda:0')"
5200,0.07572038471698761,0.12781932950019836,0.19332507252693176,0.9645535349845886,105.367431640625,"tensor(55192.5430, device='cuda:0')"
5300,0.07028499245643616,0.11603972315788269,0.18834295868873596,0.9568650722503662,118.15289306640625,"tensor(177861.1406, device='cuda:0')"
